,Capstone,Thesis,Case Study,Feasibility Study,Total
00000,0.0,0.0,0.0,2.0,2.0
00000000,0.0,0.0,0.0,2.0,2.0
0001,0.0,0.0,4.0,0.0,4.0
00056,0.0,1.0,0.0,0.0,1.0
00060,0.0,1.0,0.0,0.0,1.0
00069,0.0,1.0,0.0,0.0,1.0
00073,0.0,1.0,0.0,0.0,1.0
0016,0.0,1.0,0.0,0.0,1.0
0019,0.0,0.0,2.0,0.0,2.0
0033,0.0,0.0,2.0,0.0,2.0
0072,0.0,0.0,2.0,0.0,2.0
0075,0.0,0.0,2.0,0.0,2.0
02528,0.0,1.0,0.0,0.0,1.0
02545,0.0,1.0,0.0,0.0,1.0
03062022,0.0,1.0,0.0,0.0,1.0
045457,0.0,0.0,0.0,2.0,2.0
0500,0.0,0.0,0.0,2.0,2.0
05028,0.0,1.0,0.0,0.0,1.0
06methylguaninedna,0.0,2.0,0.0,0.0,2.0
0800,0.0,0.0,0.0,4.0,4.0
08100,0.0,0.0,0.0,2.0,2.0
0917,0.0,1.0,0.0,0.0,1.0
0923,0.0,1.0,0.0,0.0,1.0
0929,0.0,1.0,0.0,0.0,1.0
0967,0.0,0.0,2.0,0.0,2.0
0969,0.0,1.0,0.0,0.0,1.0
1000,0.0,1.0,2.0,10.0,13.0
10000,0.0,1.0,0.0,0.0,1.0
100000,0.0,1.0,0.0,4.0,5.0
1000000,0.0,0.0,0.0,2.0,2.0
1000head,0.0,0.0,0.0,4.0,4.0
100pound,0.0,0.0,0.0,2.0,2.0
10115500,0.0,0.0,0.0,2.0,2.0
1015,0.0,1.0,0.0,0.0,1.0
1020,0.0,0.0,0.0,4.0,4.0
10816,0.0,0.0,0.0,2.0,2.0
1082,0.0,0.0,0.0,4.0,4.0
108891,0.0,1.0,0.0,0.0,1.0
10aa,0.0,0.0,2.0,0.0,2.0
10fold,0.0,2.0,0.0,0.0,2.0
10kg,0.0,0.0,0.0,2.0,2.0
10thi,0.0,0.0,0.0,2.0,2.0
11000,0.0,0.0,0.0,2.0,2.0
112000,0.0,0.0,0.0,2.0,2.0
11235,0.0,1.0,0.0,0.0,1.0
112500000,0.0,0.0,0.0,4.0,4.0
1186,0.0,1.0,2.0,0.0,3.0
11991,0.0,0.0,0.0,2.0,2.0
11after,0.0,0.0,0.0,2.0,2.0
1200,0.0,0.0,0.0,2.0,2.0
12000400,0.0,0.0,0.0,2.0,2.0
1204,0.0,0.0,0.0,4.0,4.0
12052485,0.0,0.0,0.0,2.0,2.0
1277,0.0,0.0,0.0,4.0,4.0
1300,0.0,2.0,0.0,0.0,2.0
13000,0.0,0.0,0.0,2.0,2.0
130000,0.0,0.0,0.0,2.0,2.0
13169,0.0,1.0,0.0,0.0,1.0
1317,0.0,1.0,0.0,2.0,3.0
13186,0.0,1.0,0.0,0.0,1.0
131935726,0.0,0.0,0.0,2.0,2.0
1325536,0.0,0.0,0.0,2.0,2.0
1331644,0.0,0.0,0.0,2.0,2.0
133791663,0.0,0.0,0.0,2.0,2.0
13392,0.0,1.0,0.0,0.0,1.0
1342,0.0,0.0,1.0,0.0,1.0
1356,0.0,0.0,2.0,0.0,2.0
140000,0.0,0.0,0.0,2.0,2.0
14000000,0.0,0.0,0.0,4.0,4.0
142000000,0.0,0.0,0.0,4.0,4.0
1422,0.0,0.0,0.0,2.0,2.0
1453,0.0,0.0,0.0,2.0,2.0
150000,0.0,0.0,0.0,2.0,2.0
1529,0.0,0.0,1.0,0.0,1.0
1532,0.0,0.0,0.0,2.0,2.0
1535,0.0,1.0,0.0,0.0,1.0
1545457,0.0,0.0,0.0,2.0,2.0
1557,0.0,1.0,0.0,0.0,1.0
15791,0.0,1.0,0.0,0.0,1.0
1591033732,0.0,0.0,0.0,2.0,2.0
159e07,0.0,1.0,0.0,0.0,1.0
15ft,0.0,0.0,0.0,4.0,4.0
15year,0.0,0.0,0.0,2.0,2.0
1602,1.0,0.0,0.0,0.0,1.0
1620,0.0,0.0,0.0,2.0,2.0
16440,0.0,0.0,0.0,2.0,2.0
16465,0.0,3.0,0.0,0.0,3.0
16640,0.0,0.0,0.0,2.0,2.0
16672,0.0,0.0,0.0,2.0,2.0
16bit,0.0,1.0,0.0,0.0,1.0
16day,0.0,1.0,0.0,0.0,1.0
16th,0.0,1.0,0.0,0.0,1.0
16x2,2.0,0.0,0.0,0.0,2.0
17000,0.0,2.0,0.0,0.0,2.0
1707,0.0,3.0,0.0,0.0,3.0
173148158,0.0,0.0,0.0,2.0,2.0
173400487,0.0,0.0,0.0,2.0,2.0
1739,0.0,0.0,0.0,2.0,2.0
175000,0.0,0.0,0.0,2.0,2.0
1750000,0.0,0.0,0.0,2.0,2.0
180463885,0.0,0.0,0.0,4.0,4.0
1822,0.0,0.0,1.0,0.0,1.0
1830,0.0,0.0,1.0,0.0,1.0
186¢07,0.0,1.0,0.0,0.0,1.0
1900,2.0,1.0,0.0,0.0,3.0
19082022,0.0,1.0,0.0,0.0,1.0
192516370,0.0,0.0,0.0,4.0,4.0
19261,3.0,0.0,0.0,0.0,3.0
1938,0.0,0.0,1.0,0.0,1.0
1958,0.0,0.0,1.0,0.0,1.0
