Model,F1 Score
TF MONO KNeighborsClassifier,0.7299703264094956
TF MONO MultinomialNB,0.7032640949554896
TF MONO LinearSVC,0.884272997032641
SQRT TF MONO KNeighborsClassifier,0.8635014836795251
SQRT TF MONO MultinomialNB,0.887240356083086
SQRT TF MONO LinearSVC,0.9406528189910978
TF EMONO KNeighborsClassifier,0.7448071216617209
TF EMONO MultinomialNB,0.6943620178041543
TF EMONO LinearSVC,0.8753709198813057
SQRT TF EMONO KNeighborsClassifier,0.827893175074184
SQRT TF EMONO MultinomialNB,0.890207715133531
SQRT TF EMONO LinearSVC,0.9376854599406528
TF IGM KNeighborsClassifier,0.8338278931750742
TF IGM MultinomialNB,0.8991097922848664
TF IGM LinearSVC,0.9347181008902077
SQRT TF IGM KNeighborsClassifier,0.8991097922848664
SQRT TF IGM MultinomialNB,0.9109792284866469
SQRT TF IGM LinearSVC,0.9376854599406528
