,MONO,EMONO,IGM
1000,1.0307692307692309,1.0276923076923077,8.5
2013,1.02,1.01875,3.0
2016,1.0114285714285713,1.0171428571428571,2.0434782608695654
2017,1.0315789473684212,1.028421052631579,11.0
2018,1.0252631578947369,1.028421052631579,8.2
2020,1.020952380952381,1.022857142857143,4.300000000000001
2021,1.0282352941176471,1.0291176470588235,10.600000000000001
4225,0.0,0.0,10.0
91261,0.0,0.0,14.5
abil,1.0191304347826087,1.0215217391304348,3.8695652173913047
abl,1.0189473684210526,1.0200751879699248,3.759124087591241
abnorm,1.031111111111111,0.0,8.0
abstract,1.0191962174940898,1.0218439716312058,4.107142857142858
abund,1.02,1.025,3.25
academ,1.0298181818181817,1.026181818181818,9.785714285714285
academi,1.0333333333333334,0.0,7.0
academia,1.02,1.025,3.25
acceler,1.0215384615384615,0.0,5.199999999999999
accept,1.0274666666666668,1.025,8.10344827586207
acceptor,0.0,0.0,16.0
access,1.0207692307692309,1.0225,4.903614457831325
accid,1.033548387096774,0.0,18.333333333333332
accommod,1.0285714285714285,1.0257142857142858,5.285714285714286
accomplish,1.0141176470588236,1.0194117647058825,2.5652173913043477
accord,1.015157894736842,1.0186315789473683,2.911504424778761
accordingli,1.0171428571428571,1.0185714285714287,2.928571428571429
account,1.0266666666666666,1.0262222222222221,8.605633802816902
accumul,1.0266666666666666,1.0275,6.333333333333333
accur,1.0176923076923077,1.0248076923076923,4.0
accuraci,1.0361290322580645,1.0293548387096774,39.769230769230774
achiev,1.0256488549618321,1.0231297709923663,6.3052631578947365
acknowledg,1.02,0.0,4.0
aclc,1.0167521367521368,1.0215384615384615,3.7222222222222223
acquir,1.015,1.020625,2.894736842105263
acquisit,1.0258823529411765,1.026470588235294,6.5
across,1.0218181818181817,1.029090909090909,6.4
action,1.023030303030303,1.028181818181818,6.699999999999999
activ,1.0149282296650717,1.0198086124401913,2.9419087136929463
actual,1.0136363636363637,1.0177272727272728,2.5254237288135593
ad,1.0114285714285713,1.0171428571428571,2.142857142857143
adapt,1.0292063492063492,1.0271428571428571,10.517241379310345
addit,1.0133333333333334,1.0198039215686274,2.6721311475409832
address,1.0179775280898877,1.0229213483146067,3.8571428571428568
adequ,1.024,0.0,5.5
adhoc,1.0342857142857143,0.0,13.0
adjust,1.022,1.024,4.882352941176471
admin,0.0,0.0,79.0
administ,1.0133333333333334,1.02,2.3846153846153846
administr,1.0046666666666666,1.0165,1.4615384615384617
admiss,1.024,0.0,6.4
adopt,1.0158333333333334,1.01875,3.017699115044248
advanc,1.014181818181818,1.021,2.933884297520661
advantag,1.0133333333333334,1.0192857142857144,2.5555555555555554
advent,1.022857142857143,1.0257142857142858,4.0
advertis,1.0313253012048194,1.0271084337349397,13.1875
advis,1.0266666666666666,1.0266666666666666,5.5
advisori,0.0,0.0,14.5
affect,1.0197402597402598,1.022987012987013,4.67741935483871
afford,1.0266666666666666,1.0266666666666666,7.0
aforement,1.0133333333333334,1.02,2.090909090909091
africa,1.025,1.02625,4.75
age,1.0188235294117647,1.0229411764705882,3.6666666666666665
agenc,1.0177777777777777,1.0227777777777778,3.769230769230769
agenda,1.0266666666666666,1.0266666666666666,5.5
agent,1.02,1.0225,3.8235294117647056
aggreg,1.0177777777777777,1.02,3.0869565217391304
agil,1.0365714285714285,0.0,28.428571428571427
agre,1.018181818181818,1.0218181818181817,3.142857142857143
agreement,1.0218181818181817,1.0245454545454546,4.2727272727272725
agricultur,1.0208333333333333,1.02625,5.838709677419354
agusan,1.0212244897959184,1.0251020408163265,5.656716417910448
aid,1.0153846153846153,1.0184615384615385,2.5789473684210527
aim,1.011324200913242,1.0163013698630137,2.219672131147541
alarm,1.0305882352941176,1.0282352941176471,12.142857142857142
alcohol,0.0,0.0,95.5
alcoholrel,0.0,0.0,10.0
alert,1.0376470588235294,0.0,20.200000000000003
algorithm,1.0370967741935484,1.0298790322580644,61.0
align,1.010909090909091,1.0163636363636364,1.9473684210526314
allevi,1.022857142857143,1.0235714285714286,4.428571428571429
alloc,1.01,1.015,1.8823529411764706
allow,1.0145762711864408,1.021864406779661,3.031496062992126
almost,1.01,1.015,1.75
along,1.0145454545454546,1.019090909090909,2.791044776119403
alreadi,1.0176744186046511,1.0216279069767442,3.7142857142857144
alstudi,0.0,0.0,10.0
alter,1.0133333333333334,1.02,2.2
altern,1.0164285714285715,1.0198214285714287,3.123076923076923
although,1.0244444444444445,1.0266666666666666,6.076923076923077
alway,1.0184615384615385,1.021923076923077,3.6666666666666665
ambigu,1.022857142857143,1.0257142857142858,4.0
american,1.02,1.0225,3.4000000000000004
ammonia,0.0,0.0,13.0
among,1.0229411764705882,1.0253676470588236,6.086956521739131
amount,1.025050505050505,1.023030303030303,6.027027027027027
ampayon,1.0266666666666666,0.0,6.142857142857142
amzi,1.02,0.0,3.571428571428571
analys,1.0057142857142858,1.0214285714285714,1.6
analysi,1.0144092219020173,1.0203170028818445,2.913265306122449
analyt,1.0246153846153847,1.0253846153846153,6.333333333333333
analyz,1.0144,1.0204,2.928571428571429
anchor,0.0,0.0,10.0
android,1.0327777777777778,0.0,24.599999999999998
angular,1.0342857142857143,0.0,8.2
anim,1.0261538461538462,1.0242307692307693,6.1
annual,1.0345454545454547,1.0279545454545453,18.538461538461537
anoth,1.0133333333333334,1.0185714285714287,2.5555555555555554
answer,1.016,1.0234545454545454,3.4905660377358494
apach,1.0355555555555556,0.0,10.600000000000001
apart,1.01,1.015,1.75
appeal,1.02,0.0,3.571428571428571
appear,1.0066666666666666,1.02,1.6
appli,1.007787610619469,1.0183185840707965,1.8198757763975155
applic,1.024505119453925,1.025494880546075,7.0
appreci,0.0,0.0,10.0
approach,1.02544,1.02484,7.115384615384615
appropri,1.0175342465753425,1.0213698630136987,3.5945945945945947
approv,1.0272727272727273,1.0272727272727273,7.9230769230769225
approxim,1.0107692307692309,1.0161538461538462,2.024390243902439
aqua,0.0,0.0,14.5
aquino,1.02,0.0,6.25
arab,1.0,0.0,1.0
arabia,1.0177777777777777,1.0216666666666667,3.526315789473684
architectur,1.0388235294117647,0.0,67.0
arduino,1.0354838709677419,0.0,31.0
area,1.013083109919571,1.019544235924933,2.702325581395349
aris,1.016,1.021,2.7142857142857144
around,1.0180952380952382,1.02,3.4255319148936167
arrang,1.0272000000000001,1.0228,6.1
array,1.0266666666666666,0.0,6.142857142857142
arriv,1.0142857142857142,1.0192857142857144,2.5
articl,1.0184126984126984,1.026190476190476,4.782608695652174
artifact,1.025,0.0,5.285714285714286
artifici,1.03,1.0279545454545453,11.421052631578949
asid,1.032,1.027,7.857142857142857
aspect,1.028421052631579,1.0258552631578948,9.307692307692307
assess,1.0197619047619049,1.0217857142857143,4.4825174825174825
asset,1.033103448275862,1.0279310344827586,14.09090909090909
assign,1.0142222222222221,1.0186666666666666,2.7142857142857144
assist,1.019764705882353,1.023294117647059,4.4520547945205475
associ,1.0251428571428571,1.0254285714285714,7.2857142857142865
assum,1.0285714285714285,0.0,6.0
assumpt,1.032,1.027,7.857142857142857
assur,1.016,1.018,2.8
attack,1.0368253968253969,0.0,39.66666666666667
attain,1.0142857142857142,1.0192857142857144,2.5
attempt,1.0147826086956522,1.0202173913043477,3.0
attend,1.0171428571428571,1.0257142857142858,3.571428571428571
attent,1.0143589743589743,1.0207692307692309,2.8666666666666667
attitud,1.0,0.0,1.0
attract,1.022857142857143,1.0242857142857142,5.800000000000001
attribut,1.0233766233766233,1.0296103896103896,8.297297297297298
