Model,F1 Score
TF MONO KNeighborsClassifier,0.771513353115727
TF MONO MultinomialNB,0.6617210682492581
TF MONO LinearSVC,0.8308605341246291
SQRT TF MONO KNeighborsClassifier,0.8664688427299704
SQRT TF MONO MultinomialNB,0.890207715133531
SQRT TF MONO LinearSVC,0.9406528189910978
TF EMONO KNeighborsClassifier,0.8071216617210683
TF EMONO MultinomialNB,0.658753709198813
TF EMONO LinearSVC,0.8308605341246291
SQRT TF EMONO KNeighborsClassifier,0.8753709198813057
SQRT TF EMONO MultinomialNB,0.887240356083086
SQRT TF EMONO LinearSVC,0.9376854599406528
TF IGM KNeighborsClassifier,0.7299703264094956
TF IGM MultinomialNB,0.8724035608308606
TF IGM LinearSVC,0.9228486646884273
SQRT TF IGM KNeighborsClassifier,0.8189910979228486
SQRT TF IGM MultinomialNB,0.9198813056379823
SQRT TF IGM LinearSVC,0.9347181008902077
