,MONO,EMONO,IGM
1000,1.0233333333333334,1.02125,4.5
10000,1.02,1.0273529411764706,5.08
100000,1.0288,1.0264,8.2
1000000,1.0325,1.028125,10.75
14000,1.02,0.0,4.0
1920,1.03,0.0,7.0
1960,1.0166666666666666,1.0225,3.0
1970,1.024,1.027,5.0
1974,1.022857142857143,1.0257142857142858,4.0
1977,1.016,1.021,2.7142857142857144
1979,1.023157894736842,1.0252631578947369,5.125
1980,1.0127272727272727,1.019090909090909,2.354838709677419
1981,0.0,0.0,11.5
1983,1.0213333333333334,1.024,4.428571428571429
1984,1.022857142857143,1.0257142857142858,5.0
1985,1.0171428571428571,1.0257142857142858,3.4000000000000004
1986,1.02,0.0,4.0
1987,1.0256,1.024,5.800000000000001
1988,1.02,1.0255,4.529411764705882
1989,1.0171428571428571,1.0257142857142858,3.4000000000000004
1990,1.0195348837209302,1.0258139534883721,4.818181818181818
1991,1.0175,1.02625,4.0
1993,1.0217142857142858,1.024857142857143,5.222222222222222
1994,1.020377358490566,1.0277358490566038,5.628571428571429
1995,1.0225352112676056,1.0274647887323944,6.7142857142857135
1996,1.0205405405405406,1.0283783783783784,6.066666666666666
1997,1.0123076923076924,1.0184615384615385,2.2972972972972974
1998,1.0179710144927536,1.0265217391304349,4.509433962264151
1999,1.02125,1.024375,5.163265306122449
2000,1.024778761061947,1.0254867256637168,7.086956521739131
20000,0.0,0.0,20.5
2001,1.0209756097560976,1.0259756097560975,5.690909090909091
2002,1.0286868686868686,1.0257575757575759,9.875
2003,1.0218181818181817,1.0234545454545454,5.390243902439025
2004,1.0254054054054054,1.0247297297297298,7.0
2005,1.0282105263157895,1.026842105263158,10.136363636363637
2006,1.0266666666666666,1.0245,7.486486486486487
2007,1.02656,1.02616,8.78125
2008,1.0241134751773049,1.0278723404255319,8.083333333333334
2009,1.0269767441860465,1.0251162790697674,8.457142857142857
2010,1.0319402985074626,1.026865671641791,14.10204081632653
2011,1.0296296296296297,1.0269444444444444,11.909090909090908
2012,1.0304980842911877,1.0272413793103448,13.309278350515463
2013,1.0293827160493827,1.0272222222222223,12.15625
2014,1.0289182058047492,1.0265963060686016,10.844311377245509
