Terms,Weights
1000,1.02625
2016,1.0163636363636364
2017,1.028421052631579
2018,1.028125
2020,1.0252631578947369
2021,1.0286363636363636
4225,0.0
91261,0.0
abil,1.0235714285714286
abl,1.022
abnorm,0.0
abstract,1.0235714285714286
academ,1.0271698113207548
academi,0.0
acceler,0.0
accept,1.0262237762237763
acceptor,0.0
access,1.0250267379679145
accid,0.0
accommod,1.0257142857142858
accomplish,1.0192857142857144
accord,1.0201136363636363
accordingli,1.0214285714285714
account,1.0257851239669422
accumul,1.0275
accur,1.0258
accuraci,1.0293548387096774
achiev,1.0244354838709677
acknowledg,1.0257142857142858
aclc,1.0247058823529411
acquir,1.0175
acquisit,0.0
across,1.029090909090909
act,1.0257142857142858
action,1.028181818181818
activ,1.0216753926701572
actual,1.02
ad,1.0163636363636364
adapt,1.0275806451612903
addit,1.01828125
address,1.0242857142857142
adequ,1.025
adhoc,0.0
adjust,1.024
admin,0.0
administ,1.02
administr,1.020909090909091
admiss,0.0
adopt,1.0208235294117647
advanc,1.0231
advantag,1.0213157894736842
advent,1.0257142857142858
advertis,1.0273076923076923
advis,1.0266666666666666
advisori,0.0
affect,1.0234437086092716
afford,1.025
africa,1.025
age,1.0207692307692309
agenc,1.0207142857142857
agenda,0.0
agent,1.0235714285714286
aggreg,1.0211764705882354
agil,0.0
agre,1.0225
agricultur,1.0249295774647886
agusan,1.0233333333333334
aid,1.02
aim,1.0186910994764398
alarm,1.029090909090909
alcohol,0.0
alcoholrel,0.0
alert,0.0
algorithm,1.0298790322580644
align,1.015
allevi,1.021
alloc,1.0157894736842106
allow,1.0234545454545454
almost,1.021
alon,1.0257142857142858
along,1.018
alreadi,1.0235135135135136
alstudi,0.0
alter,1.02
altern,1.021764705882353
although,1.0282352941176471
alway,1.0228
ammonia,0.0
among,1.0265384615384616
amount,1.0198529411764705
ampayon,0.0
amzi,0.0
analys,1.0272307692307692
analysi,1.0221698113207547
analyt,1.0253846153846153
analyz,1.0218571428571428
anchor,0.0
android,0.0
angular,0.0
anim,1.0247826086956522
annual,1.0264
anoth,1.02
answer,1.0229411764705882
apach,0.0
apart,1.0171428571428571
appeal,0.0
appear,1.0166666666666666
appli,1.0225
applic,1.0263957597173146
appoint,1.0257142857142858
appreci,0.0
approach,1.0257676348547717
appropri,1.0214285714285714
approv,1.0285714285714285
approxim,1.015
aqua,0.0
aquino,0.0
arab,0.0
arabia,1.0207692307692309
architectur,0.0
arduino,0.0
area,1.0198076923076924
aris,1.0171428571428571
around,1.0221052631578946
arrang,1.018
array,0.0
arriv,1.0166666666666666
articl,1.0279661016949153
artifact,0.0
artifici,1.02775
asid,1.027
aspect,1.0235714285714286
assess,1.0223170731707316
asset,1.026470588235294
assign,1.02
assist,1.0250632911392406
associ,1.0233333333333334
assum,1.02625
assumpt,1.025
assur,1.020357142857143
attack,0.0
attain,1.0207692307692309
attempt,1.0223076923076924
attend,1.0257142857142858
attent,1.021891891891892
attitud,0.0
attract,1.026842105263158
attribut,1.0296103896103896
augment,1.026842105263158
authent,1.02625
author,1.0234782608695652
auto,1.02
autom,1.0297560975609756
automat,1.0285576923076922
automobil,1.027
automot,1.024
avail,1.0184615384615385
avenu,1.02859375
averag,1.0227184466019417
avoid,1.0243478260869565
awar,1.0231645569620254
baan,0.0
babi,0.0
bachelor,1.02625
back,1.0225
background,1.02625
bacteria,0.0
balanc,1.0183333333333333
bank,1.016
baon,0.0
barangay,1.028360655737705
barrier,0.0
base,1.0228947368421053
basi,1.0218181818181817
basic,1.019375
bayanihan,0.0
becam,1.025
becom,1.02
begin,1.0214285714285714
behavior,1.0282222222222221
behaviour,1.0293333333333334
believ,1.019090909090909
bend,0.0
benefici,1.0216666666666667
beneficiari,1.0253846153846153
benefit,1.0175961538461538
besid,1.021
best,1.0232394366197184
better,1.0215625
beyond,1.02625
bia,1.02
bigger,0.0
bill,1.0248
billion,1.02625
blind,0.0
block,1.0245454545454546
blood,1.0290625
blue,0.0
board,1.026842105263158
bodi,1.0261290322580645
book,1.0241791044776118
boost,1.0214285714285714
bootstrap,0.0
borrow,1.0278048780487805
boulevard,0.0
boundari,1.028
brand,1.0297540983606557
bread,0.0
breadboard,0.0
break,1.021
breath,0.0
brgi,0.0
bring,1.0194117647058825
browser,0.0
budget,1.0218181818181817
buenavista,1.02625
build,1.020576923076923
built,1.028125
burden,1.026842105263158
bureau,1.028125
busi,1.0267326732673268
button,0.0
butuan,1.0213103448275862
buy,1.0295454545454545
buyer,1.024
buzzer,0.0
cage,0.0
calam,0.0
calcul,1.0261290322580645
call,1.0223404255319148
came,1.0246428571428572
camera,1.029625
campaign,1.028888888888889
camscann,0.0
capabl,1.0206557377049181
capac,1.0163636363636364
capit,1.0295652173913044
captur,1.0253333333333334
caraga,1.027162162162162
card,1.026470588235294
care,1.022857142857143
carri,1.0219642857142857
case,1.0263414634146342
cash,1.0273417721518987
cashier,1.026842105263158
cashless,0.0
cast,0.0
categor,0.0
categori,1.0222222222222221
cater,1.026842105263158
caus,1.0227586206896553
cbtm,0.0
celebr,1.02625
cell,1.0275
cement,0.0
center,1.023076923076923
central,1.024
certain,1.02375
certif,1.0278571428571428
chain,0.0
challeng,1.02
chang,1.0223333333333333
channel,1.027
charact,1.0256363636363637
characterist,1.0223404255319148
charg,1.0228
chart,1.0275
chatbot,0.0
check,1.026875
checker,0.0
chemic,1.0192857142857144
chicken,0.0
children,1.0272727272727273
china,1.025
chines,0.0
chisquar,1.0276923076923077
choic,1.02325
choos,1.0232075471698112
chosen,1.019655172413793
citi,1.0282410423452768
citizen,1.0214285714285714
claim,1.0266666666666666
class,1.0286153846153847
classif,1.0171428571428571
classifi,1.0289887640449438
classroom,0.0
clean,1.0189473684210526
cleaner,1.0257142857142858
cleanli,1.0253846153846153
clear,1.0275
click,0.0
client,1.0207042253521126
clientcustom,0.0
clientsid,0.0
climat,1.0225
clinic,1.0292682926829269
close,1.019736842105263
