Terms,Weights
1000,1.025
2016,1.010909090909091
2017,1.0315789473684212
2018,1.03
2020,1.023157894736842
2021,1.0218181818181817
4225,0.0
91261,0.0
abil,1.020952380952381
abl,1.021
abnorm,1.031111111111111
abstract,1.0207142857142857
academ,1.0309433962264152
academi,1.0333333333333334
acceler,1.0215384615384615
accept,1.0288111888111888
acceptor,0.0
access,1.023101604278075
accid,1.033548387096774
accommod,1.0285714285714285
accomplish,1.0142857142857142
accord,1.0163636363636364
accordingli,1.0171428571428571
account,1.0297520661157025
accumul,1.0266666666666666
accur,1.0184
accuraci,1.0361290322580645
achiev,1.0270967741935484
acknowledg,1.022857142857143
aclc,1.0192156862745099
acquir,1.0166666666666666
acquisit,1.0338461538461539
across,1.0218181818181817
act,1.022857142857143
action,1.023030303030303
activ,1.0163350785340315
actual,1.0153846153846153
ad,1.010909090909091
adapt,1.0296774193548388
addit,1.0159375
address,1.019047619047619
adequ,1.02
adhoc,1.0342857142857143
adjust,1.022
admin,0.0
administ,1.0133333333333334
administr,1.0157575757575759
admiss,1.024
adopt,1.0178823529411765
advanc,1.0156
advantag,1.0147368421052632
advent,1.022857142857143
advertis,1.0333333333333334
advis,1.0266666666666666
advisori,0.0
affect,1.0201324503311258
afford,1.02
africa,1.0333333333333334
age,1.0153846153846153
agenc,1.016190476190476
agenda,1.0342857142857143
agent,1.022857142857143
aggreg,1.0188235294117647
agil,1.0365714285714285
agre,1.025
agricultur,1.019154929577465
agusan,1.0166666666666666
aid,1.0166666666666666
aim,1.0129842931937172
alarm,1.0315151515151515
alcohol,0.0
alcoholrel,0.0
alert,1.0376470588235294
algorithm,1.0370967741935484
align,1.01
allevi,1.016
alloc,1.0105263157894737
allow,1.0156363636363637
almost,1.02
alon,1.022857142857143
along,1.0133333333333334
alreadi,1.0205405405405406
alstudi,0.0
alter,1.0133333333333334
altern,1.0180392156862745
although,1.0258823529411765
alway,1.0192
ammonia,0.0
among,1.024
amount,1.0182352941176471
ampayon,1.0266666666666666
amzi,1.02
analys,1.0264615384615385
analysi,1.0157232704402517
analyt,1.0246153846153847
analyz,1.0154285714285713
anchor,0.0
android,1.0327777777777778
angular,1.0342857142857143
anim,1.0295652173913044
annual,1.0304
anoth,1.0155555555555555
answer,1.0258823529411765
apach,1.0355555555555556
apart,1.0114285714285713
appeal,1.02
appear,1.008888888888889
appli,1.0157575757575759
applic,1.0253710247349823
appoint,1.022857142857143
appreci,0.0
approach,1.0263900414937759
appropri,1.0203174603174603
approv,1.0285714285714285
approxim,1.01
aqua,0.0
aquino,1.02
arab,1.0
arabia,1.0153846153846153
architectur,1.0388235294117647
arduino,1.0354838709677419
area,1.0155128205128205
aris,1.0171428571428571
around,1.02
arrang,1.008
array,1.0266666666666666
arriv,1.008888888888889
articl,1.0196610169491525
artifact,1.025
artifici,1.033
asid,1.032
aspect,1.0220408163265307
assess,1.0202439024390244
asset,1.0282352941176471
assign,1.0152380952380953
assist,1.0212658227848102
associ,1.0183333333333333
assum,1.025
