Terms,Weights
1000,1.0234782608695652
10000,1.0266666666666666
100000,1.0271428571428571
1000000,1.0278571428571428
1920,0.0
1960,1.0214285714285714
1970,0.0
1977,1.0214285714285714
1979,1.0257142857142858
1980,1.015
1981,0.0
1983,1.0171428571428571
1985,1.0225
1987,1.0245454545454546
1988,1.024
1989,1.0225
1990,1.024857142857143
1991,1.0233333333333334
1993,1.015
1994,1.0271428571428571
1995,1.026470588235294
1996,1.0279310344827586
1997,1.0157894736842106
1998,1.0255555555555556
1999,1.015
2000,1.0249
20000,0.0
2001,1.0251470588235294
2002,1.0274193548387096
2003,1.0258
2004,1.0255223880597015
2005,1.0265116279069768
2006,1.0260176991150443
2007,1.025982142857143
2008,1.027457627118644
2009,1.027
2010,1.027906976744186
2011,1.026683417085427
2012,1.0270247933884298
2013,1.028178913738019
2014,1.0276164383561643
2015,1.0276506024096386
2016,1.0283536585365853
2017,1.0272621359223302
2018,1.0239090909090909
2019,1.025470297029703
2020,1.0215806451612903
2021,1.0195555555555555
2022,0.0
2025,1.019090909090909
2026,1.025
2030,1.0205263157894737
20th,0.0
21st,1.0272727272727273
2500,1.0266666666666666
3000,1.024
30000,1.0283333333333333
5000,1.015
60000,1.0283333333333333
8000,1.0214285714285714
9003,0.0
9482,0.0
abil,1.021372549019608
abl,1.0189156626506024
abnorm,0.0
abovement,1.0257142857142858
abroad,1.025
absenc,1.024
absent,0.0
absolut,1.024
abstract,1.0244444444444445
abund,1.021
abus,1.02625
academ,1.0236842105263158
academi,0.0
acceler,1.0238235294117648
accept,1.0243103448275863
access,1.0227122641509434
accessori,1.015
accid,0.0
accommod,1.0263076923076924
accompani,1.01875
accomplish,1.0217021276595746
accord,1.0245157780195866
accordingli,1.02
account,1.027206896551724
accredit,0.0
accumul,1.0203225806451612
accur,1.0266896551724138
accuraci,1.0295631067961164
achiev,1.0220494699646643
acid,1.0272727272727273
acknowledg,1.0236842105263158
aclc,1.0258035714285714
acquir,1.0206896551724138
acquisit,1.021346153846154
across,1.0233557046979866
act,1.025
action,1.0242487046632125
activ,1.0213172541743971
actor,1.0245454545454546
actual,1.0234782608695652
actuat,0.0
acut,1.025
ad,1.024
adamson,0.0
adapt,1.0247058823529411
addit,1.0228720626631853
address,1.0221621621621622
ade,0.0
adequ,1.024
adher,1.0275
adhoc,1.027
adjac,1.02
adjust,1.0238235294117648
admin,0.0
administ,1.02
administr,1.0260330578512398
admiss,1.0291891891891891
admit,1.027
adolesc,1.0214285714285714
adopt,1.01848
adult,1.0247058823529411
advanc,1.0229787234042553
advantag,1.0235955056179775
advent,1.0225
adventur,1.0253846153846153
advers,1.02
advertis,1.0281516587677726
advic,1.0225
advis,0.0
advisori,0.0
advoc,1.0171428571428571
aesthet,0.0
affect,1.0208734939759037
afford,1.0219402985074626
aforement,1.02
africa,1.0278571428571428
african,1.0225
afterward,1.02625
age,1.021111111111111
agenc,1.023157894736842
agenda,1.024
agent,1.0246666666666666
aggreg,1.0171428571428571
aggress,1.024
agil,1.027
agre,1.0258620689655173
agreement,1.025
agricultur,1.020091743119266
agro,1.0257142857142858
agusan,1.0268085106382978
ahead,1.015
ahm,1.024
aid,1.0266666666666666
aim,1.021044776119403
airborn,1.0257142857142858
airlin,1.02875
airport,1.0225
alarm,1.0271428571428571
alcohol,1.0269230769230768
alcoholrel,0.0
alert,0.0
algorithm,1.0296326530612245
align,1.0166666666666666
alik,1.025
alkalin,0.0
alkhatib,0.0
allevi,1.0195
allianc,0.0
alloc,1.0246
allow,1.0217302052785924
almost,1.0206060606060605
alon,1.0257142857142858
along,1.018482142857143
alongsid,1.0207692307692309
alreadi,1.0248333333333333
altem,1.025
alter,1.0275
altern,1.0193617021276595
although,1.0245454545454546
alumni,0.0
alway,1.0231818181818182
amaz,1.0225
amazon,0.0
ambago,1.025
ambigu,1.02625
america,1.016
american,1.021111111111111
ammonia,0.0
among,1.0231399317406142
amongst,1.015
amount,1.0262631578947368
ampl,1.0253846153846153
amplifi,1.025
analys,1.026190476190476
analysi,1.0250322580645161
analyst,1.0282352941176471
analyt,1.0227027027027027
analyz,1.0265068493150684
anant,0.0
ancestr,0.0
ancient,1.0235714285714286
anderson,0.0
andor,1.018
andrew,0.0
android,1.0295454545454545
androidbas,0.0
anim,1.0235714285714286
announc,1.020625
annual,1.0260689655172415
annum,0.0
anomali,1.0285
anoth,1.0223048327137547
anpr,0.0
answer,1.0233720930232557
anticip,1.028125
anxieti,1.02
anymor,1.0253846153846153
anyon,1.027
anyth,1.021
anytim,1.015
anywher,1.0177272727272728
apart,1.0225
app,1.0234375
appar,1.0205263157894737
apparatus,0.0
appeal,1.027
appear,1.025
appendix,1.025
appli,1.0237591240875912
applianc,1.026842105263158
applic,1.021890359168242
appoint,1.0245454545454546
apprais,1.025
approach,1.0269262295081967
appropri,1.0211764705882354
approv,1.0280851063829788
approxim,1.0231081081081081
april,1.0261702127659575
aptitud,1.025
aqua,1.027
aquacultur,0.0
aquino,1.0299029126213592
arab,0.0
arabia,1.0265384615384616
archetyp,1.0257142857142858
architectur,1.029758064516129
archiv,0.0
arduino,0.0
area,1.020129259694477
arent,1.027
argu,1.0280645161290323
aris,1.02296875
arm,1.0214285714285714
around,1.0198333333333334
arrang,1.0205263157894737
arriv,1.0218181818181817
art,1.0216666666666667
articl,1.0225688073394494
artifici,1.0272932330827067
artisan,0.0
asia,1.0245454545454546
asian,1.0225
asid,1.0257142857142858
ask,1.0275806451612903
aspect,1.0173333333333334
aspir,0.0
assembl,1.026
assert,1.023076923076923
assess,1.0215021459227467
assessor,0.0
asset,1.0243333333333333
assign,1.0222321428571428
assist,1.0211520737327189
associ,1.0206341463414634
assort,1.02
assum,1.0156521739130435
assumpt,0.0
assur,1.0207692307692309
asynchron,0.0
atmospher,1.0235714285714286
attach,1.025
attack,1.0291228070175438
attain,1.023
attempt,1.0215789473684211
attend,1.0254716981132075
attent,1.023855421686747
attitud,1.0282644628099173
attorney,0.0
attract,1.024113924050633
attribut,1.0285365853658537
audienc,1.0259615384615384
audio,1.0233333333333334
audit,1.0257142857142858
augment,1.0264285714285715
august,1.0263636363636364
australia,1.0214285714285714
authent,1.0277611940298508
author,1.023860465116279
auto,1.015
autom,1.0282938388625593
automat,1.0267525773195876
automobil,1.0184615384615385
automot,1.015
autonomi,1.0257142857142858
avail,1.0221602787456445
avenu,1.0290625
averag,1.0213953488372094
avoid,1.021717791411043
awar,1.023868613138686
away,1.0230357142857143
ayurveda,0.0
baan,0.0
babi,1.02775
bachelor,1.0285953177257525
back,1.0225
backbon,1.02625
backend,0.0
background,1.0221212121212122
backofthebook,0.0
bacteria,1.0276923076923077
bag,1.0171428571428571
balanc,1.0246153846153847
banana,1.0259090909090909
band,0.0
banerje,0.0
bank,1.0271205357142856
barangay,1.0275179856115109
barrier,1.0227272727272727
base,1.0215665236051503
basi,1.016779661016949
basic,1.0188165680473373
basin,0.0
bathroom,0.0
bayanihan,0.0
be,1.0225
bear,1.027
beat,1.025
beauti,1.0233333333333334
becam,1.021764705882353
becom,1.0209445585215606
began,1.022857142857143
begin,1.019375
behav,1.0233333333333334
behavior,1.0267326732673268
behaviour,1.0272093023255815
behind,1.0225
belda,0.0
belief,0.0
believ,1.020181818181818
belong,1.0205263157894737
belt,0.0
benchmark,1.025
benefici,1.021764705882353
beneficiari,1.02325
benefit,1.0198237885462555
besid,1.0237662337662337
best,1.020890052356021
better,1.0224710424710424
beverag,1.0288
beyond,1.0225
bia,1.0276923076923077
bicycl,1.0257142857142858
bid,0.0
bigger,1.0225
biggest,1.0236842105263158
bike,0.0
bilater,1.0257142857142858
bill,1.02625
billion,1.023671875
bin,0.0
biodegrad,0.0
biolog,1.026470588235294
biometr,0.0
bird,1.0275
birth,1.024
bislig,1.0257142857142858
black,1.022258064516129
blast,0.0
blend,1.0236842105263158
blind,1.029423076923077
block,1.0246575342465754
blockag,0.0
blog,1.025
blood,1.0289285714285714
blue,1.0244444444444445
board,1.025108695652174
bodi,1.0258333333333334
bonbon,0.0
bond,1.0163636363636364
bone,1.02625
book,1.025294117647059
boom,1.0233333333333334
boost,1.0241463414634147
bootstrap,0.0
border,1.0272727272727273
bore,1.0266666666666666
born,1.027
borrow,1.0298512396694215
bottl,1.0276923076923077
bottom,1.0257142857142858
bought,1.0272727272727273
bound,1.024
boundari,1.0260869565217392
box,1.026470588235294
brackish,1.02625
brain,1.02859375
branch,1.02
brand,1.0294736842105263
breach,1.02
bread,1.024
break,1.02325
breakdown,1.02625
breakin,0.0
breakthrough,1.02625
breath,0.0
brgi,1.0253846153846153
brick,1.0285
bridg,1.0248780487804878
brief,1.0236842105263158
briefli,1.0257142857142858
brigad,0.0
bright,1.025
bring,1.0201315789473684
broad,1.02
broadcast,1.015
broadli,1.0233333333333334
broken,1.02
brought,1.020204081632653
brown,1.026
brows,1.0229411764705882
browser,0.0
budget,1.0241071428571429
buenavista,0.0
build,1.0231617647058824
builder,1.025
buildup,0.0
built,1.025090909090909
bulk,1.0260869565217392
bunch,1.0233333333333334
burden,1.0255
bureau,1.024
burglar,0.0
burglari,0.0
burn,1.021
buse,0.0
busi,1.0250260078023408
button,1.0257142857142858
butuan,1.025692921236291
butuanon,0.0
buy,1.0293181818181818
buyer,1.026470588235294
cabadbaran,0.0
cabl,0.0
cach,0.0
cafe,1.0288461538461537
cake,0.0
calam,0.0
calcul,1.027037037037037
calendar,1.0225
call,1.0212142857142856
came,1.025108695652174
camera,1.028857142857143
campaign,1.026
campu,1.027
camscann,0.0
canada,1.02
cancel,1.0245454545454546
cancer,1.0292682926829269
candi,0.0
candid,1.0225
cant,1.0225
capabl,1.0202758620689656
capac,1.0231683168316832
capit,1.0236942675159235
capita,1.02
captiv,1.02
captur,1.0230487804878048
car,1.0236363636363637
caraga,1.0282119205298013
carbon,1.0233333333333334
card,1.0239240506329115
cardiovascular,0.0
care,1.0228409090909092
career,1.0265384615384616
carnap,0.0
carri,1.0226573426573426
carrier,1.015
cart,1.0171428571428571
case,1.0223284823284824
cash,1.0275634517766497
cashier,1.0293333333333334
cashless,0.0
cassava,0.0
cast,1.02
catalog,0.0
cataract,0.0
catch,1.018
categor,1.0275806451612903
categori,1.025408163265306
cater,1.0222077922077921
caught,1.0282352941176471
caus,1.0233898305084745
cctv,1.024
cdrrmo,0.0
celebr,1.02
cell,1.028301886792453
cellular,1.0229411764705882
cement,0.0
censu,1.0231818181818182
cent,1.0279545454545453
center,1.0246
centr,1.0252631578947369
central,1.0210280373831775
centric,1.019090909090909
centuri,1.0221052631578946
cereal,0.0
certain,1.0208125
certif,1.0244615384615385
certifi,1.0225
chain,1.021111111111111
challeng,1.0244186046511627
chanc,1.02203125
chang,1.0217758620689654
channel,1.0251351351351352
chapter,1.0265612648221343
charact,1.0187012987012987
character,1.0282352941176471
characterist,1.02625
charcoal,0.0
charg,1.0278125
chart,1.0272727272727273
chat,1.02
chatbot,1.0295522388059701
cheap,1.0214285714285714
cheaper,1.027
check,1.02688
checklist,1.0272727272727273
ched,0.0
chemic,1.0164285714285715
chen,1.0275
chest,0.0
chicken,0.0
child,1.025
childhood,0.0
children,1.026181818181818
china,1.0233333333333334
chines,1.0271875
chocol,0.0
choic,1.025
choos,1.021206896551724
chore,1.028125
chose,1.0235714285714286
chosen,1.0175
chou,1.025
church,0.0
cigarett,0.0
circul,1.0282692307692307
circumst,1.026
cite,1.0225
citi,1.0247408105560791
citizen,1.0235135135135136
civil,1.021
claim,1.0291666666666666
clariti,1.02625
