Terms,Weights
1000,5.199999999999999
10000,6.666666666666666
100000,11.8
1000000,14.0
1920,7.0
1960,1.4615384615384617
1970,3.571428571428571
1977,3.4000000000000004
1979,7.6000000000000005
1980,1.8571428571428572
1981,11.5
1983,1.0
1985,2.5
1987,7.0
1988,3.8
1989,2.5
1990,6.04
1991,3.0
1993,1.2727272727272727
1994,7.75
1995,5.054054054054054
1996,8.862068965517242
1997,1.967741935483871
1998,5.894736842105263
1999,1.45
2000,8.5
20000,20.5
2001,7.2926829268292686
2002,12.833333333333334
2003,6.806451612903226
2004,8.621621621621621
2005,12.485714285714286
2006,9.135593220338983
2007,10.959999999999999
2008,11.408163265306122
2009,11.038461538461538
2010,17.46153846153846
2011,14.52112676056338
2012,16.307692307692307
2013,14.471698113207548
2014,12.91304347826087
2015,11.716417910447761
2016,11.05
2017,8.788235294117648
2018,5.341463414634147
2019,5.339100346020761
2020,3.9896193771626294
2021,3.3758389261744965
2022,1.0
2025,2.5
2026,3.25
2030,3.347826086956522
20th,11.5
21st,5.666666666666667
2500,4.333333333333334
3000,3.727272727272727
30000,12.25
5000,1.4615384615384617
60000,10.333333333333334
8000,2.090909090909091
9003,10.0
9482,10.0
abil,4.0
abl,2.8576512455516014
abnorm,13.857142857142858
abovement,3.0
abroad,1.6
absenc,3.8695652173913047
absent,17.5
absolut,3.727272727272727
abstract,5.857142857142858
abund,3.0
abus,3.6666666666666665
academ,5.336633663366337
academi,20.5
acceler,5.846153846153847
accept,7.08
access,3.9371727748691097
accessori,1.375
accid,27.0
accommod,8.941176470588236
accompani,2.5652173913043477
accomplish,3.0816326530612246
accord,4.95230998509687
accordingli,2.8
account,18.88
accredit,14.5
accumul,2.7837837837837838
accur,7.769230769230769
accuraci,62.26315789473685
achiev,5.241379310344827
acid,4.6
acknowledg,3.4000000000000004
aclc,10.600000000000001
acquir,3.522727272727273
acquisit,3.830188679245283
across,3.9302325581395348
act,3.8235294117647056
action,5.933333333333334
activ,4.036585365853659
actor,4.2727272727272725
actual,5.068965517241379
actuat,5.0
acut,4.0
