Terms,Weights
1000,1.0243478260869565
10000,1.0251851851851852
100000,1.0342857142857143
1000000,1.0371428571428571
1920,1.03
1960,1.0057142857142858
1970,1.02
1977,1.022857142857143
1979,1.0314285714285714
1980,1.01
1981,0.0
1983,1.0
1985,1.015
1987,1.029090909090909
1988,1.0186666666666666
1989,1.015
1990,1.024
1991,1.0155555555555555
1993,1.0033333333333334
1994,1.0257142857142858
1995,1.0196078431372548
1996,1.0262068965517241
1997,1.0105263157894737
1998,1.0229629629629629
1999,1.005
2000,1.028
20000,0.0
2001,1.025294117647059
2002,1.0305376344086021
2003,1.024
2004,1.0280597014925372
2005,1.0311627906976744
2006,1.0283185840707965
2007,1.029642857142857
2008,1.028813559322034
2009,1.029
2010,1.0331782945736434
2011,1.0321608040201005
2012,1.032892561983471
2013,1.0304153354632588
2014,1.030027397260274
2015,1.0288353413654618
2016,1.0272357723577237
2017,1.0257087378640777
2018,1.0215757575757576
2019,1.0206930693069307
2020,1.0185806451612904
2021,1.0174814814814814
2022,1.0
2025,1.0127272727272727
2026,1.02
2030,1.0189473684210526
20th,0.0
21st,1.0254545454545454
2500,1.0222222222222221
3000,1.02
30000,1.0333333333333334
5000,1.0066666666666666
60000,1.031111111111111
8000,1.0114285714285713
9003,0.0
9482,0.0
abil,1.018562091503268
abl,1.0139759036144578
abnorm,1.0333333333333334
abovement,1.0171428571428571
abroad,1.0066666666666666
absenc,1.0176
absent,0.0
absolut,1.02
abstract,1.0251851851851852
abund,1.016
abus,1.02
academ,1.021954887218045
academi,0.0
acceler,1.0247058823529411
accept,1.0262068965517241
access,1.0176415094339624
accessori,1.005
accid,1.0339130434782609
accommod,1.0276923076923077
accompani,1.015
accomplish,1.014468085106383
accord,1.0192383025027203
accordingli,1.015
account,1.0342528735632184
accredit,0.0
accumul,1.0141935483870967
accur,1.0242758620689656
accuraci,1.0376699029126213
achiev,1.0231802120141342
acid,1.0218181818181817
acknowledg,1.016842105263158
aclc,1.0285714285714285
acquir,1.0170114942528736
acquisit,1.0192307692307692
across,1.0169127516778524
act,1.0177777777777777
action,1.0230051813471503
activ,1.01847866419295
actor,1.0218181818181817
actual,1.0205217391304349
actuat,1.02
acut,1.02
ad,1.0254117647058822
adamson,0.0
adapt,1.0223529411764707
addit,1.0166057441253264
address,1.0153153153153154
ade,0.0
adequ,1.0194285714285714
adher,1.0233333333333334
adhoc,1.02
adjac,1.0155555555555555
adjust,1.0211764705882354
admin,0.0
administ,1.0133333333333334
administr,1.0296418732782369
admiss,1.0356756756756758
admit,1.024
adolesc,1.022857142857143
adopt,1.00768
adult,1.0258823529411765
advanc,1.020936170212766
advantag,1.0170786516853934
advent,1.02
adventur,1.0246153846153847
advers,1.0155555555555555
advertis,1.0365876777251184
advic,1.0175
advis,1.0222222222222221
advisori,0.0
advoc,1.0142857142857142
aesthet,1.0384615384615385
affect,1.0159036144578313
afford,1.021492537313433
aforement,1.0133333333333334
africa,1.0257142857142858
african,1.02
afterward,1.025
age,1.005925925925926
agenc,1.0203508771929826
agenda,1.024
agent,1.0213333333333334
aggreg,1.0114285714285713
aggress,1.0186666666666666
agil,1.024
agre,1.0248275862068965
agreement,1.0033333333333334
agricultur,1.0144954128440367
agro,1.0285714285714285
agusan,1.0280851063829788
ahead,1.004
ahm,1.0213333333333334
aid,1.0207407407407407
aim,1.0149253731343284
airborn,1.0285714285714285
airlin,1.035
airport,1.015
alarm,1.0323809523809524
alcohol,1.0297435897435898
alcoholrel,0.0
alert,1.0372413793103448
algorithm,1.0379591836734694
align,1.0044444444444445
alik,1.0333333333333334
alkalin,0.0
alkhatib,0.0
allevi,1.014
allianc,0.0
alloc,1.0224
allow,1.0179472140762464
almost,1.014949494949495
alon,1.0236734693877552
along,1.0117857142857143
alongsid,1.0215384615384615
alreadi,1.0215555555555556
altem,1.02
alter,1.02
altern,1.0141843971631206
although,1.0173737373737373
alumni,0.0
alway,1.0184848484848485
amaz,1.025
amazon,1.0
ambago,1.02
ambigu,1.025
america,1.0106666666666666
american,1.0148148148148148
ammonia,0.0
among,1.016382252559727
amongst,1.01
amount,1.0291929824561403
ampl,1.0184615384615385
amplifi,1.02
analys,1.0184126984126984
analysi,1.0264086021505376
