Model,F1 Score
TF MONO KNeighborsClassifier,0.7752442996742671
TF MONO MultinomialNB,0.6188925081433225
TF MONO SVC,0.9022801302931596
SQRT TF MONO KNeighborsClassifier,0.8697068403908795
SQRT TF MONO MultinomialNB,0.8469055374592833
SQRT TF MONO SVC,0.9185667752442996
TF EMONO KNeighborsClassifier,0.771986970684039
TF EMONO MultinomialNB,0.6091205211726385
TF EMONO SVC,0.9055374592833876
SQRT TF EMONO KNeighborsClassifier,0.8859934853420195
SQRT TF EMONO MultinomialNB,0.8436482084690554
SQRT TF EMONO SVC,0.9218241042345277
TF IGM KNeighborsClassifier,0.7980456026058632
TF IGM MultinomialNB,0.8697068403908795
TF IGM SVC,0.8892508143322475
SQRT TF IGM KNeighborsClassifier,0.8110749185667753
SQRT TF IGM MultinomialNB,0.9218241042345277
SQRT TF IGM SVC,0.9283387622149837
