Terms,Weights
1000,1.0276923076923077
2013,1.01875
2016,1.0171428571428571
2017,1.028421052631579
2018,1.028421052631579
2020,1.022857142857143
2021,1.0291176470588235
4225,0.0
91261,0.0
abil,1.0215217391304348
abl,1.0200751879699248
abnorm,0.0
abstract,1.0218439716312058
abund,1.025
academ,1.026181818181818
academi,0.0
academia,1.025
acceler,0.0
accept,1.025
acceptor,0.0
access,1.0225
accid,0.0
accommod,1.0257142857142858
accomplish,1.0194117647058825
accord,1.0186315789473683
accordingli,1.0185714285714287
account,1.0262222222222221
accumul,1.0275
accur,1.0248076923076923
accuraci,1.0293548387096774
achiev,1.0231297709923663
acknowledg,0.0
aclc,1.0215384615384615
acquir,1.020625
acquisit,1.026470588235294
across,1.029090909090909
action,1.028181818181818
activ,1.0198086124401913
actual,1.0177272727272728
ad,1.0171428571428571
adapt,1.0271428571428571
addit,1.0198039215686274
address,1.0229213483146067
adequ,0.0
adhoc,0.0
adjust,1.024
admin,0.0
administ,1.02
administr,1.0165
admiss,0.0
adopt,1.01875
advanc,1.021
advantag,1.0192857142857144
advent,1.0257142857142858
advertis,1.0271084337349397
advis,1.0266666666666666
advisori,0.0
affect,1.022987012987013
afford,1.0266666666666666
aforement,1.02
africa,1.02625
age,1.0229411764705882
agenc,1.0227777777777778
agenda,1.0266666666666666
agent,1.0225
aggreg,1.02
agil,0.0
agre,1.0218181818181817
agreement,1.0245454545454546
agricultur,1.02625
agusan,1.0251020408163265
aid,1.0184615384615385
aim,1.0163013698630137
alarm,1.0282352941176471
alcohol,0.0
alcoholrel,0.0
alert,0.0
algorithm,1.0298790322580644
align,1.0163636363636364
allevi,1.0235714285714286
alloc,1.015
allow,1.021864406779661
almost,1.015
along,1.019090909090909
alreadi,1.0216279069767442
alstudi,0.0
alter,1.02
altern,1.0198214285714287
although,1.0266666666666666
alway,1.021923076923077
ambigu,1.0257142857142858
american,1.0225
ammonia,0.0
among,1.0253676470588236
amount,1.023030303030303
ampayon,0.0
amzi,0.0
analys,1.0214285714285714
analysi,1.0203170028818445
analyt,1.0253846153846153
analyz,1.0204
anchor,0.0
android,0.0
angular,0.0
anim,1.0242307692307693
annual,1.0279545454545453
anoth,1.0185714285714287
answer,1.0234545454545454
apach,0.0
apart,1.015
appeal,0.0
appear,1.02
appli,1.0183185840707965
applic,1.025494880546075
appreci,0.0
approach,1.02484
appropri,1.0213698630136987
approv,1.0272727272727273
approxim,1.0161538461538462
aqua,0.0
aquino,0.0
arab,0.0
arabia,1.0216666666666667
architectur,0.0
arduino,0.0
area,1.019544235924933
aris,1.021
around,1.02
arrang,1.0228
array,0.0
arriv,1.0192857142857144
articl,1.026190476190476
artifact,0.0
artifici,1.0279545454545453
asid,1.027
aspect,1.0258552631578948
assess,1.0217857142857143
asset,1.0279310344827586
assign,1.0186666666666666
assist,1.023294117647059
associ,1.0254285714285714
assum,0.0
assumpt,1.027
assur,1.018
attack,0.0
attain,1.0192857142857144
attempt,1.0202173913043477
attend,1.0257142857142858
attent,1.0207692307692309
attitud,0.0
attract,1.0242857142857142
attribut,1.0296103896103896
augment,1.0248780487804878
authent,1.02625
author,1.021038961038961
auto,1.02
autom,1.0297560975609756
automat,1.0285576923076922
automot,1.0253846153846153
avail,1.0200613496932516
avenu,1.0288461538461537
averag,1.0211607142857142
avoid,1.024
awar,1.0212790697674419
baan,0.0
babi,0.0
bachelor,1.028
back,1.0204545454545455
background,1.02625
backyard,0.0
bacteria,0.0
balanc,1.02
bank,1.018
baon,0.0
barangay,1.0289864864864864
barrier,0.0
base,1.0211458333333334
basi,1.0208695652173914
basic,1.02
bayanihan,0.0
beauti,0.0
becam,1.025
becom,1.018139534883721
begin,1.024
behavior,1.0282222222222221
behaviour,1.028695652173913
believ,1.0217241379310344
bend,0.0
benefici,1.0234782608695652
beneficiari,1.0271428571428571
benefit,1.0203731343283582
besid,1.0257142857142858
best,1.021375
better,1.0225
beverag,0.0
beyond,1.02625
bia,1.02
bigger,0.0
bill,1.0241558441558443
billion,1.0214285714285714
blind,0.0
block,1.0263636363636364
blood,1.028181818181818
blue,0.0
board,1.026842105263158
bodi,1.0253125
book,1.0225
boost,1.0173684210526315
bootstrap,0.0
borrow,1.0262068965517241
boulevard,0.0
boundari,1.028
brand,1.0297887323943662
bread,0.0
breadboard,0.0
break,1.0235714285714286
breath,0.0
brgi,0.0
bring,1.0218181818181817
browser,0.0
budget,1.0189473684210526
buenavista,1.0233333333333334
build,1.0225
built,1.028125
burden,1.0255
bureau,1.028421052631579
busi,1.0278791773778921
button,0.0
butuan,1.0222162162162163
buy,1.0295714285714286
buyer,1.0216666666666667
buzzer,0.0
cage,0.0
calam,0.0
calcul,1.0238235294117648
call,1.0196363636363637
came,1.0254545454545454
camera,1.029625
campaign,1.028888888888889
camscann,0.0
capabl,1.019090909090909
capac,1.0163636363636364
capit,1.0297540983606557
captur,1.0253333333333334
caraga,1.0274390243902438
card,1.0271428571428571
care,1.021492537313433
carri,1.016046511627907
case,1.0254716981132075
cash,1.0277173913043478
cashier,0.0
cashless,0.0
cast,0.0
categor,0.0
categori,1.0218181818181817
cater,1.0275510204081633
caus,1.022
cbtm,0.0
celebr,1.025
cell,1.0275
cement,0.0
center,1.0244444444444445
central,1.0222222222222221
centuri,1.025
certain,1.0228
certif,1.028125
chain,1.0229787234042553
challeng,1.0237623762376238
chang,1.021157894736842
channel,1.0251162790697674
charact,1.0231147540983607
characterist,1.0201923076923076
charg,1.019655172413793
chart,1.0275
chatbot,0.0
check,1.026875
checker,0.0
chemic,1.016
chicken,0.0
children,1.0260869565217392
china,1.0267857142857142
chines,0.0
chisquar,1.0257142857142858
choic,1.0244897959183674
choos,1.021206896551724
chosen,1.0197142857142858
citi,1.0221672354948805
citizen,1.0171428571428571
claim,1.0266666666666666
clariti,1.02
class,1.0277611940298508
classif,1.015
classifi,1.0286666666666666
classroom,0.0
clean,1.018
cleanli,1.024
clear,1.0253846153846153
click,0.0
client,1.018375
clientcustom,0.0
clientel,1.0257142857142858
clientsid,0.0
climat,1.024375
clinic,1.0285714285714285
close,1.0195652173913043
cloth,1.0253846153846153
cloud,0.0
coastal,0.0
code,1.0276923076923077
coffe,0.0
cognit,1.0288
coin,1.0293181818181818
collabor,1.0275
collect,1.0243478260869565
collector,0.0
colleg,1.0255681818181819
collis,0.0
color,1.0233333333333334
combin,1.0263157894736843
come,1.0189285714285714
comfort,1.01875
command,0.0
commerci,1.0290322580645161
commiss,0.0
commit,1.02625
commod,1.0247058823529411
common,1.0211764705882354
commonli,1.015
commun,1.0164516129032257
commut,0.0
compani,1.0263241106719367
compar,1.0176470588235293
comparison,1.028695652173913
compet,1.0214285714285714
competit,1.0240659340659342
competitor,1.028421052631579
complement,1.0257142857142858
complet,1.0174193548387096
complex,1.0283636363636364
compli,1.0192857142857144
complic,0.0
compon,1.018
compos,1.0212903225806451
composit,1.0271428571428571
compound,1.025
comprehens,1.0212903225806451
compris,1.0216666666666667
comput,1.0256470588235294
computer,0.0
computerbas,0.0
concem,1.025
concentr,1.0221052631578946
concept,1.0170454545454546
conceptu,1.018125
concern,1.0233333333333334
conclud,1.0223008849557522
conclus,1.021111111111111
condit,1.0181578947368422
conduct,1.0231940298507463
conductor,0.0
confirm,1.0227586206896553
confus,1.02
congest,0.0
connect,1.0202816901408451
consequ,1.0168
consid,1.0195882352941177
consider,0.0
consist,1.0196774193548388
constant,1.02
constraint,1.024
construct,1.0219685039370079
consult,1.024375
consum,1.0276824034334764
consumpt,1.0236
contact,1.0265116279069768
contain,1.0211764705882354
content,1.020625
context,1.0233898305084745
continu,1.0212307692307692
contract,1.025
contractor,0.0
contrast,0.0
contribut,1.0225
control,1.0211764705882354
conveni,1.0261290322580645
convent,1.0245454545454546
convers,1.016875
convert,1.021
convey,1.0171428571428571
conveyor,0.0
convolut,0.0
cooper,1.029047619047619
coordin,1.0251351351351352
cope,1.02625
core,1.018
corn,1.0285714285714285
coronaviru,1.02625
corpor,1.0286666666666666
correct,1.0247058823529411
correctli,0.0
