,ca,t,cs,fs,tot
system,1212,70,16,2,1300
use,710,73,202,16,1001
develop,656,38,51,10,755
studi,364,41,290,43,738
applic,354,39,33,0,426
research,186,27,204,8,425
help,358,19,34,3,414
manag,133,7,217,37,394
butuan,168,5,137,43,353
propon,309,9,2,31,351
citi,142,3,123,64,332
data,162,34,108,8,312
abstract,198,36,74,0,308
process,180,27,70,16,293
mean,129,5,137,1,272
provid,211,7,33,17,268
inform,201,20,24,22,267
user,232,23,0,2,257
custom,20,4,215,13,252
result,133,16,93,8,250
servic,107,2,106,34,249
base,184,12,34,18,248
method,111,20,97,4,232
project,75,1,5,146,227
keyword,203,22,0,0,225
area,85,3,108,27,223
evalu,77,4,140,1,222
collect,62,4,150,4,220
monitor,157,6,45,0,208
locat,156,0,18,28,202
product,54,1,78,67,200
conduct,122,2,70,1,195
busi,43,0,71,80,194
detect,174,16,0,0,190
make,154,6,16,11,187
implement,78,11,93,4,186
mobil,171,13,0,0,184
respond,62,4,114,4,184
survey,106,3,75,0,184
credit,45,0,134,2,181
time,114,19,27,13,173
prototyp,166,6,0,0,172
effici,150,9,3,9,171
need,94,11,42,23,170
order,108,9,46,6,169
student,153,8,2,6,169
game,160,0,0,0,160
peopl,144,4,2,8,158
technolog,119,16,2,16,153
follow,74,16,54,8,152
gather,89,2,56,3,150
descript,10,2,131,6,149
qualiti,100,0,44,4,148
employe,26,0,117,4,147
design,109,7,20,6,142
total,81,3,34,23,141
android,118,22,0,0,140
gener,62,16,33,29,140
propos,50,10,17,61,138
year,22,4,21,91,138
model,113,8,14,2,137
questionnair,61,2,73,1,137
access,106,12,4,11,133
softwar,129,3,0,0,132
oper,48,5,21,56,130
recommend,64,0,61,5,130
case,18,7,101,1,127
function,99,4,21,3,127
requir,77,2,26,22,127
purpos,60,0,62,4,126
sensor,123,0,0,0,123
test,116,6,0,1,123
manual,107,6,6,1,120
problem,64,15,34,7,120
schedul,71,35,14,0,120
compani,12,0,98,6,116
commun,80,5,17,13,115
give,82,3,20,8,113
improv,58,7,44,4,113
level,76,13,21,3,113
find,58,3,41,10,112
weight,8,1,100,3,112
object,87,13,5,6,111
inventori,9,0,99,1,109
creat,84,9,15,0,108
effect,56,1,39,12,108
accept,98,1,5,2,106
must,31,4,69,0,104
specif,45,6,45,8,104
control,61,4,37,1,103
market,14,0,31,57,102
term,43,0,54,5,102
comput,68,19,0,14,101
standard,54,1,45,1,101
assess,39,0,61,0,100
notif,96,4,0,0,100
perform,57,11,32,0,100
featur,97,2,0,0,99
record,75,2,18,4,99
hous,85,0,7,6,98
identifi,84,6,8,0,98
vehicl,93,3,0,0,96
aim,55,6,30,4,95
autom,86,9,0,0,95
cooper,0,0,94,1,95
show,30,6,47,12,95
account,12,0,77,5,94
store,21,4,66,3,94
devic,87,6,0,0,93
offic,60,0,16,17,93
practic,3,0,89,1,93
includ,57,3,24,8,92
number,56,23,9,4,92
reliabl,86,0,6,0,92
water,87,0,2,3,92
aclc,49,2,35,5,91
increas,20,3,35,33,91
barangay,60,4,6,20,90
owner,82,0,4,4,90
rate,26,5,35,23,89
abl,62,4,15,7,88
transact,80,1,5,2,88
current,54,4,27,2,87
build,31,1,40,14,86
food,41,0,24,21,86
highli,80,0,2,4,86
person,60,6,11,9,86
determin,50,8,20,7,85
focus,63,5,17,0,85
automat,74,5,5,0,84
summari,55,0,2,27,84
activ,59,5,9,10,83
execut,57,0,3,23,83
conclud,60,5,15,1,81
learn,70,6,4,1,81
phone,75,5,0,1,81
obtain,60,2,15,3,80
raspberri,80,0,0,0,80
avail,51,2,13,13,79
code,61,15,3,0,79
plant,48,0,0,31,79
receiv,44,4,28,3,79
sampl,5,1,73,0,79
could,52,8,16,2,78
recognit,51,26,1,0,78
everi,53,7,11,5,76
found,53,5,16,1,75
establish,32,1,17,24,74
nort,36,1,30,6,73
track,67,4,1,1,73
borrow,22,1,47,2,72
chang,50,2,19,1,72
hardwar,58,2,12,0,72
satisfact,4,0,66,2,72
solut,55,8,8,1,72
analysi,50,6,6,9,71
cash,7,0,58,6,71
averag,16,2,47,5,70
bill,44,11,15,0,70
school,61,0,0,9,70
secur,61,0,5,4,70
life,63,2,1,3,69
present,35,5,19,10,69
especi,52,2,13,1,68
exist,38,2,18,10,68
usabl,65,1,2,0,68
agusan,13,1,30,23,67
differ,50,5,8,4,67
import,52,0,8,7,67
camera,60,6,0,0,66
health,66,0,0,0,66
organ,31,4,21,10,66
plan,35,0,23,8,66
possibl,39,7,20,0,66
tool,50,8,6,2,66
util,39,3,15,9,66
caraga,53,5,0,7,65
like,54,6,4,1,65
network,43,20,0,2,65
respons,32,5,26,2,65
support,47,0,10,8,65
diseas,63,0,0,1,64
sinc,37,3,14,10,64
verbal,2,0,62,0,64
alcohol,63,0,0,0,63
invest,8,0,8,47,63
local,27,4,1,31,63
report,47,4,10,2,63
statu,58,2,3,0,63
view,60,1,2,0,63
webbas,63,0,0,0,63
allow,43,7,8,4,62
appli,22,3,35,2,62
approach,47,11,2,2,62
item,36,0,22,3,61
name,40,4,8,9,61
work,31,5,20,5,61
analyz,28,10,22,0,60
polici,2,0,56,2,60
cycl,52,1,3,3,59
error,50,2,6,1,59
internet,47,1,10,1,59
loan,1,0,50,8,59
sanit,53,0,6,0,59
employ,22,1,23,12,58
region,27,2,0,29,58
sdlc,56,2,0,0,58
exam,57,0,0,0,57
interview,17,0,38,2,57
place,31,1,11,14,57
promot,20,0,29,8,57
sourc,20,14,11,12,57
therefor,37,1,13,6,57
depart,21,1,16,18,56
expert,56,0,0,0,56
face,47,2,7,0,56
high,38,1,7,10,56
strategi,6,0,48,2,56
assist,42,7,3,3,55
fire,55,0,0,0,55
map,44,11,0,0,55
offer,21,3,17,14,55
resid,46,1,3,5,55
scale,22,1,31,1,55
well,22,2,18,13,55
colleg,7,4,35,8,54
imag,35,19,0,0,54
payment,6,0,48,0,54
serv,36,1,11,6,54
accord,36,2,15,0,53
administr,26,4,18,5,53
aquino,0,0,48,5,53
arduino,53,0,0,0,53
avoid,25,4,23,1,53
book,32,6,13,2,53
involv,25,4,20,4,53
procedur,22,2,29,0,53
real,48,4,1,0,53
send,37,3,12,1,53
admin,52,0,0,0,52
avenu,1,1,44,6,52
concern,39,3,8,2,52
less,9,1,35,7,52
mechan,29,3,17,3,52
messag,47,0,5,0,52
demand,9,0,10,32,51
environ,22,3,25,1,51
good,22,1,25,3,51
knowledg,37,2,9,3,51
materi,18,2,11,20,51
member,2,1,38,10,51
rice,49,0,1,1,51
sale,12,0,19,20,51
waterfal,51,0,0,0,51
affect,30,2,18,0,50
come,24,8,8,10,50
decis,43,1,4,2,50
idea,42,5,1,2,50
institut,31,8,7,4,50
measur,39,0,8,3,50
relev,43,2,5,0,50
thu,23,2,19,6,50
addit,27,3,12,7,49
