,ca,t,cs,fs,tot
system,1142,66,16,1,1225
study,336,37,287,43,703
used,270,29,164,12,475
using,328,35,29,3,395
application,329,34,27,0,390
butuan,166,5,137,43,351
city,137,3,123,61,324
data,162,34,108,8,312
abstract,197,36,74,0,307
proponents,290,8,2,2,302
management,96,0,182,20,298
developed,243,9,16,1,269
help,219,17,28,2,266
development,205,20,31,8,264
researchers,119,18,125,1,263
information,191,18,23,21,253
mean,107,1,119,1,228
based,164,11,34,16,225
method,101,14,93,4,212
project,74,1,3,125,203
keywords,170,16,0,0,186
credit,42,0,134,2,178
respondents,57,4,113,4,178
business,33,0,63,80,176
mobile,163,13,0,0,176
prototype,164,6,0,0,170
conducted,109,2,53,1,165
time,112,19,23,9,163
process,87,11,53,7,158
survey,96,3,55,0,154
customers,11,2,124,13,150
people,135,4,2,8,149
quality,100,0,44,4,148
game,146,0,0,0,146
monitoring,97,6,39,0,142
service,58,2,63,18,141
android,118,22,0,0,140
collection,21,2,112,3,138
total,80,3,31,23,137
order,92,9,30,2,133
user,118,15,0,0,133
model,110,6,14,2,132
software,129,3,0,0,132
research,51,5,72,2,130
result,68,9,44,6,127
students,111,8,2,6,127
users,114,8,0,2,124
proposed,42,4,14,57,117
area,47,1,46,22,116
provide,90,2,16,8,116
develop,105,3,4,1,113
level,74,12,21,2,109
detection,97,11,0,0,108
employees,8,0,96,4,108
services,49,0,43,16,108
areas,38,2,62,5,107
inventory,9,0,97,1,107
efficient,94,5,3,4,106
weighted,6,1,98,0,105
manual,92,5,6,1,104
must,31,4,69,0,104
company,9,0,91,3,103
location,83,0,7,12,102
sensor,102,0,0,0,102
case,6,1,94,0,101
customer,8,2,91,0,101
gathered,59,1,33,2,95
cooperative,0,0,92,0,92
aclc,49,2,35,5,91
developing,87,4,0,0,91
implementation,35,6,48,2,91
notification,89,2,0,0,91
useful,82,1,8,0,91
year,16,2,17,56,91
terms,36,0,50,4,90
following,61,8,12,8,89
able,62,4,15,7,88
acceptable,85,0,2,1,88
water,83,0,2,3,88
evaluation,38,1,48,0,87
helps,80,1,5,1,87
making,71,4,4,8,87
questionnaire,45,2,39,1,87
results,45,7,34,1,87
highly,80,0,2,4,86
technology,56,13,2,15,86
evaluate,19,3,62,1,85
give,66,1,12,6,85
summary,55,0,2,27,84
access,66,11,3,1,81
needs,45,2,24,10,81
processing,58,8,9,6,81
vehicle,79,2,0,0,81
current,50,4,26,0,80
make,63,2,12,3,80
number,51,16,9,4,80
raspberry,80,0,0,0,80
device,74,5,0,0,79
could,52,8,16,2,78
recognition,51,26,1,0,78
barangay,51,3,6,17,77
every,53,7,11,5,76
executive,53,0,0,23,76
test,71,4,0,1,76
descriptive,7,2,64,2,75
found,53,5,16,1,75
systems,70,4,0,1,75
learning,66,4,4,0,74
obtained,55,1,15,2,73
description,2,0,66,4,72
hardware,58,2,12,0,72
norte,36,1,29,6,72
satisfaction,4,0,66,2,72
analysis,50,6,6,9,71
automated,64,7,0,0,71
cash,7,0,58,6,71
house,59,0,7,5,71
products,20,0,40,11,71
average,16,2,47,5,70
control,47,4,18,1,70
standard,36,0,34,0,70
food,40,0,9,20,69
life,63,2,1,3,69
store,13,0,55,1,69
building,17,1,39,11,68
especially,52,2,13,1,68
purpose,45,0,23,0,68
agusan,13,1,30,23,67
practices,2,0,65,0,67
requirements,41,1,16,9,67
sampling,2,0,65,0,67
features,65,1,0,0,66
improve,35,5,25,1,66
solution,52,7,6,1,66
caraga,53,5,0,7,65
health,65,0,0,0,65
camera,59,5,0,0,64
effective,32,1,25,6,64
like,54,5,4,1,64
operation,10,0,10,44,64
since,37,3,14,10,64
alcohol,63,0,0,0,63
status,58,2,3,0,63
