Terms,Weights
1000,8.5
2013,3.0
2016,2.0434782608695654
2017,11.0
2018,8.2
2020,4.300000000000001
2021,10.600000000000001
4225,10.0
91261,14.5
abil,3.8695652173913047
abl,3.759124087591241
abnorm,8.0
abstract,4.107142857142858
abund,3.25
academ,9.785714285714285
academi,7.0
academia,3.25
acceler,5.199999999999999
accept,8.10344827586207
acceptor,16.0
access,4.903614457831325
accid,18.333333333333332
accommod,5.285714285714286
accomplish,2.5652173913043477
accord,2.911504424778761
accordingli,2.928571428571429
account,8.605633802816902
accumul,6.333333333333333
accur,4.0
accuraci,39.769230769230774
achiev,6.3052631578947365
acknowledg,4.0
aclc,3.7222222222222223
acquir,2.894736842105263
acquisit,6.5
across,6.4
action,6.699999999999999
activ,2.9419087136929463
actual,2.5254237288135593
ad,2.142857142857143
adapt,10.517241379310345
addit,2.6721311475409832
address,3.8571428571428568
adequ,5.5
adhoc,13.0
adjust,4.882352941176471
admin,79.0
administ,2.3846153846153846
administr,1.4615384615384617
admiss,6.4
adopt,3.017699115044248
advanc,2.933884297520661
advantag,2.5555555555555554
advent,4.0
advertis,13.1875
advis,5.5
advisori,14.5
affect,4.67741935483871
afford,7.0
aforement,2.090909090909091
africa,4.75
age,3.6666666666666665
agenc,3.769230769230769
agenda,5.5
agent,3.8235294117647056
aggreg,3.0869565217391304
agil,28.428571428571427
agre,3.142857142857143
agreement,4.2727272727272725
agricultur,5.838709677419354
agusan,5.656716417910448
aid,2.5789473684210527
aim,2.219672131147541
alarm,12.142857142857142
alcohol,95.5
alcoholrel,10.0
alert,20.200000000000003
algorithm,61.0
align,1.9473684210526314
allevi,4.428571428571429
alloc,1.8823529411764706
allow,3.031496062992126
almost,1.75
along,2.791044776119403
alreadi,3.7142857142857144
alstudi,10.0
alter,2.2
altern,3.123076923076923
although,6.076923076923077
alway,3.6666666666666665
ambigu,4.0
american,3.4000000000000004
ammonia,13.0
among,6.086956521739131
amount,6.027027027027027
ampayon,6.142857142857142
amzi,3.571428571428571
analys,1.6
analysi,2.913265306122449
analyt,6.333333333333333
analyz,2.928571428571429
anchor,10.0
android,24.599999999999998
angular,8.2
anim,6.1
annual,18.538461538461537
anoth,2.5555555555555554
answer,3.4905660377358494
apach,10.600000000000001
apart,1.75
appeal,3.571428571428571
appear,1.6
appli,1.8198757763975155
applic,7.0
appreci,10.0
approach,7.115384615384615
appropri,3.5945945945945947
approv,7.9230769230769225
approxim,2.024390243902439
aqua,14.5
aquino,6.25
arab,1.0
arabia,3.526315789473684
architectur,67.0
arduino,31.0
area,2.702325581395349
aris,2.7142857142857144
around,3.4255319148936167
arrang,6.1
array,6.142857142857142
arriv,2.5
articl,4.782608695652174
artifact,5.285714285714286
artifici,11.421052631578949
asid,7.857142857142857
aspect,9.307692307692307
assess,4.4825174825174825
asset,14.09090909090909
assign,2.7142857142857144
assist,4.4520547945205475
associ,7.2857142857142865
assum,6.0
assumpt,7.857142857142857
assur,2.8
attack,39.66666666666667
attain,2.5
attempt,3.0
attend,3.571428571428571
attent,2.8666666666666667
attitud,1.0
attract,5.800000000000001
attribut,8.297297297297298
augment,5.258064516129032
authent,5.909090909090909
author,3.2222222222222223
auto,2.2
autom,14.692307692307692
automat,13.833333333333332
automot,3.769230769230769
avail,2.851063829787234
avenu,8.23076923076923
averag,4.519230769230769
avoid,4.0
awar,3.0425531914893615
baan,55.0
babi,19.0
bachelor,4.6521739130434785
back,2.7142857142857144
background,6.142857142857142
backyard,10.0
bacteria,9.571428571428571
balanc,3.1176470588235294
bank,2.3170731707317076
baon,10.0
barangay,16.40909090909091
barrier,1.0
base,3.103896103896104
basi,3.5
basic,3.2153846153846155
bayanihan,23.5
beauti,13.0
becam,3.25
becom,2.849056603773585
begin,1.375
behavior,8.78125
behaviour,15.689655172413792
believ,3.0
bend,10.0
benefici,3.5
beneficiari,9.727272727272727
benefit,3.6277372262773726
besid,5.235294117647059
best,4.12
better,3.5384615384615383
beverag,4.0
beyond,3.6666666666666665
bia,2.2
bigger,3.571428571428571
bill,5.714285714285714
billion,4.75
blind,4.428571428571429
block,7.6000000000000005
blood,11.714285714285715
blue,3.571428571428571
board,10.600000000000001
bodi,7.2857142857142865
book,4.870967741935484
boost,1.7741935483870968
bootstrap,8.384615384615385
borrow,7.612244897959183
boulevard,3.571428571428571
boundari,5.909090909090909
brand,14.772727272727273
bread,4.0
breadboard,13.0
break,4.428571428571429
breath,12.0
brgi,4.6
bring,3.5
browser,15.399999999999999
budget,2.6595744680851063
buenavista,3.6666666666666665
build,3.5668449197860963
built,9.0
burden,6.2
bureau,7.0
busi,11.847682119205297
button,13.0
butuan,4.070362473347548
buy,27.14285714285714
buyer,3.0999999999999996
buzzer,26.5
cage,32.5
calam,32.5
calcul,3.903225806451613
call,2.935483870967742
came,5.153846153846153
camera,15.399999999999999
campaign,16.333333333333332
camscann,13.857142857142858
capabl,3.0
capac,2.0588235294117645
capit,31.285714285714285
captur,4.882352941176471
caraga,11.411764705882353
card,5.125
care,3.1666666666666665
carri,1.8955223880597014
case,6.474452554744525
cash,9.045454545454545
cashier,10.75
cashless,14.5
cast,7.0
categor,1.0
categori,3.941176470588235
cater,4.942857142857143
caus,4.0
cbtm,10.0
celebr,7.75
cell,5.199999999999999
cement,5.285714285714286
center,4.044776119402985
central,3.1999999999999997
centuri,3.25
certain,4.545454545454546
certif,7.6000000000000005
chain,4.789473684210526
challeng,5.783783783783783
chang,3.526315789473684
channel,4.428571428571429
charact,4.72
characterist,2.8688524590163933
charg,2.7142857142857144
chart,7.75
chatbot,9.571428571428571
check,6.793103448275862
checker,10.0
chemic,2.25
chicken,5.3999999999999995
children,7.4
china,9.0
chines,16.0
chisquar,4.230769230769231
choic,4.0
choos,3.459016393442623
chosen,2.6744186046511627
citi,4.724137931034483
citizen,2.5
claim,5.5
clariti,2.090909090909091
class,10.931034482758621
classif,1.75
classifi,22.272727272727273
classroom,6.571428571428571
clean,2.7142857142857144
cleanli,4.428571428571429
clear,3.769230769230769
click,9.399999999999999
client,2.4563106796116507
clientcustom,16.0
clientel,4.0
clientsid,3.571428571428571
climat,4.2
clinic,11.941176470588236
close,2.745454545454545
cloth,1.7058823529411764
cloud,64.6
coastal,10.0
code,9.511627906976745
coffe,3.571428571428571
cognit,13.0
coin,31.75
collabor,11.5
collect,7.0
collector,16.0
colleg,4.25
collis,5.5
color,4.176470588235294
combin,7.171428571428571
come,2.6
comfort,2.6875
command,6.0
commerci,8.5
commiss,19.0
commit,6.625
commod,5.0
common,3.0
commonli,1.4615384615384617
commun,2.411764705882353
commut,23.5
compani,8.636363636363637
compar,2.3636363636363633
comparison,13.666666666666668
compet,3.275862068965517
competit,5.086956521739131
competitor,7.0
complement,4.0
complet,2.3734939759036147
complex,13.600000000000001
compli,2.5
complic,10.600000000000001
compon,3.5
compos,3.057142857142857
composit,5.800000000000001
compound,4.428571428571429
comprehens,3.0
compris,3.2857142857142856
comput,6.801324503311259
computer,10.0
computerbas,16.0
concem,3.25
concentr,3.4000000000000004
concept,2.3
conceptu,2.4285714285714284
concern,3.9620253164556964
conclud,4.875
conclus,3.689655172413793
condit,2.705263157894737
conduct,3.6019417475728157
conductor,14.5
confirm,3.6
confus,2.090909090909091
congest,5.615384615384616
connect,3.1538461538461537
consequ,3.0625
consid,2.870967741935484
consider,1.0
consist,2.8679245283018866
constant,2.2
constraint,5.800000000000001
construct,3.459016393442623
consult,3.625
consum,17.52173913043478
consumpt,4.387096774193549
contact,11.2
contain,3.4705882352941178
content,3.4375
context,4.4799999999999995
continu,3.0869565217391304
contract,7.0
contractor,4.0
contrast,9.0
contribut,3.532110091743119
control,3.379888268156425
conveni,6.186440677966102
convent,4.2727272727272725
convers,2.2
convert,2.7142857142857144
convey,1.9230769230769231
conveyor,10.0
convolut,14.826086956521738
cooper,6.480769230769231
coordin,5.137931034482759
cope,3.6666666666666665
core,1.72
corn,10.600000000000001
coronaviru,5.153846153846153
corpor,7.638297872340425
correct,6.478260869565217
correctli,10.0
correl,8.894736842105264
correspond,4.130434782608695
cost,9.898876404494382
costli,2.090909090909091
could,3.391304347826087
count,1.6
countri,2.900990099009901
coupl,3.1818181818181817
cours,5.7441860465116275
court,2.8
cover,7.731707317073171
covid,6.1
covid19,4.192660550458716
creat,3.5074626865671643
creation,2.4634146341463414
creativ,4.0
credibl,16.0
credit,9.774193548387096
crib,10.0
crime,8.2
crimin,4.75
crisi,4.157894736842105
criteria,4.818181818181818
critic,4.9375
crop,3.571428571428571
cross,4.6
crucial,4.310344827586206
cultiv,9.571428571428571
cultur,7.136363636363637
cure,4.6
current,2.2992125984251968
curriculum,3.1818181818181817
custom,13.693227091633466
cycl,8.902439024390244
daili,6.0625
damag,2.3846153846153846
danger,4.428571428571429
data,4.4
databas,5.5
dataset,135.39999999999998
date,3.4000000000000004
day,5.421052631578947
dead,13.0
deadli,7.0
deal,3.5
dealer,4.0
death,11.615384615384615
debit,3.571428571428571
decad,4.6
decemb,4.0
decid,12.294117647058822
decis,2.935483870967742
decisionmak,2.75
declar,2.333333333333333
decreas,5.421052631578947
dedic,4.333333333333334
deduct,3.571428571428571
deep,27.727272727272727
defin,5.235294117647059
definit,2.090909090909091
degre,4.454545454545455
delay,4.2
deliv,2.074626865671642
deliveri,3.9189189189189193
demand,7.0
demonstr,5.9714285714285715
densiti,6.0
depart,4.225806451612903
department,25.0
depend,3.5970149253731343
deploy,4.176470588235294
depth,11.285714285714285
deriv,3.689655172413793
describ,3.4489795918367347
descript,13.328767123287673
design,3.423452768729642
designmethodologyapproach,4.0
desir,2.745454545454545
despit,4.333333333333334
destin,4.0
detail,3.048780487804878
detect,7.842696629213483
detector,8.0
determin,2.5737704918032787
develop,6.870503597122302
development,16.0
devic,10.88888888888889
diagnos,5.909090909090909
diagnosi,11.666666666666666
diagram,8.384615384615385
dietari,19.0
differ,2.96
differenti,2.5652173913043477
difficult,5.0588235294117645
difficulti,3.0
digit,3.496
dilemma,4.0
dimens,8.5
dimension,6.142857142857142
dine,4.0
direct,3.4324324324324325
directli,5.285714285714286
disagre,14.5
disast,7.857142857142857
discount,5.5
discov,2.5789473684210527
discoveri,1.0
discrimin,5.5
discuss,2.6296296296296298
diseas,6.647058823529411
disinfect,73.0
disord,3.727272727272727
dispens,19.0
display,4.130434782608695
dispos,5.0
dissatisfi,4.0
dissemin,1.75
distanc,5.090909090909091
distinct,5.666666666666667
distinguish,7.0
distribut,3.135593220338983
district,6.538461538461538
divers,6.0
divis,8.2
doctor,6.294117647058823
document,3.238805970149254
dog,11.5
dole,28.0
domain,4.409090909090909
domest,4.6
domin,3.8
done,2.9411764705882355
door,2.741935483870968
drastic,4.0
draw,4.0
dri,41.5
drive,4.384615384615385
driven,1.75
driver,5.2631578947368425
drop,3.571428571428571
drowsi,10.0
drunkdriv,16.0
dump,10.0
durat,1.75
duti,3.1818181818181817
dynam,4.639344262295082
earli,7.0
earlier,3.5
earn,10.818181818181818
earth,5.800000000000001
earthquak,25.0
eas,4.818181818181818
easi,5.5
easier,13.0
easili,8.777777777777779
ecommerc,7.4
econom,11.153846153846153
economi,5.9411764705882355
edg,9.769230769230768
educ,2.902439024390244
effect,3.208955223880597
efficaci,6.142857142857142
effici,5.168141592920354
effort,1.7894736842105263
eight,6.6
either,4.12
elabor,4.428571428571429
elearn,10.0
electr,4.085714285714285
electron,4.365853658536586
element,2.902439024390244
elicit,2.6363636363636362
elimin,16.375
email,6.6
embed,5.199999999999999
emerg,4.313432835820896
emot,1.0
emphas,3.5
empir,16.42857142857143
employ,3.169491525423729
employe,7.568965517241379
empow,3.5
empti,8.0
enabl,2.3255813953488373
encount,3.0
encourag,4.0
energi,9.0
enforc,5.666666666666667
engag,2.476923076923077
engin,6.837837837837839
english,7.75
enhanc,2.7697841726618706
enjoy,5.0
enough,1.967741935483871
enrol,7.0
ensur,3.0
enter,6.25
enterpris,6.853658536585366
entertain,5.199999999999999
