Terms,Weights
1000,1.0307692307692309
2013,1.02
2016,1.0114285714285713
2017,1.0315789473684212
2018,1.0252631578947369
2020,1.020952380952381
2021,1.0282352941176471
4225,0.0
91261,0.0
abil,1.0191304347826087
abl,1.0189473684210526
abnorm,1.031111111111111
abstract,1.0191962174940898
abund,1.02
academ,1.0298181818181817
academi,1.0333333333333334
academia,1.02
acceler,1.0215384615384615
accept,1.0274666666666668
acceptor,0.0
access,1.0207692307692309
accid,1.033548387096774
accommod,1.0285714285714285
accomplish,1.0141176470588236
accord,1.015157894736842
accordingli,1.0171428571428571
account,1.0266666666666666
accumul,1.0266666666666666
accur,1.0176923076923077
accuraci,1.0361290322580645
achiev,1.0256488549618321
acknowledg,1.02
aclc,1.0167521367521368
acquir,1.015
acquisit,1.0258823529411765
across,1.0218181818181817
action,1.023030303030303
activ,1.0149282296650717
actual,1.0136363636363637
ad,1.0114285714285713
adapt,1.0292063492063492
addit,1.0133333333333334
address,1.0179775280898877
adequ,1.024
adhoc,1.0342857142857143
adjust,1.022
admin,0.0
administ,1.0133333333333334
administr,1.0046666666666666
admiss,1.024
adopt,1.0158333333333334
advanc,1.014181818181818
advantag,1.0133333333333334
advent,1.022857142857143
advertis,1.0313253012048194
advis,1.0266666666666666
advisori,0.0
affect,1.0197402597402598
afford,1.0266666666666666
aforement,1.0133333333333334
africa,1.025
age,1.0188235294117647
agenc,1.0177777777777777
agenda,1.0266666666666666
agent,1.02
aggreg,1.0177777777777777
agil,1.0365714285714285
agre,1.018181818181818
agreement,1.0218181818181817
agricultur,1.0208333333333333
agusan,1.0212244897959184
aid,1.0153846153846153
aim,1.011324200913242
alarm,1.0305882352941176
alcohol,0.0
alcoholrel,0.0
alert,1.0376470588235294
algorithm,1.0370967741935484
align,1.010909090909091
allevi,1.022857142857143
alloc,1.01
allow,1.0145762711864408
almost,1.01
along,1.0145454545454546
alreadi,1.0176744186046511
alstudi,0.0
alter,1.0133333333333334
altern,1.0164285714285715
although,1.0244444444444445
alway,1.0184615384615385
ambigu,1.022857142857143
american,1.02
ammonia,0.0
among,1.0229411764705882
