Terms,Weights
1000,1.02125
10000,1.0273529411764706
100000,1.0264
1000000,1.028125
14000,0.0
1920,0.0
1960,1.0225
1970,1.027
1974,1.0257142857142858
1977,1.021
1979,1.0252631578947369
1980,1.019090909090909
1981,0.0
1983,1.024
1984,1.0257142857142858
1985,1.0257142857142858
1986,0.0
1987,1.024
1988,1.0255
1989,1.0257142857142858
1990,1.0258139534883721
1991,1.02625
1993,1.024857142857143
1994,1.0277358490566038
1995,1.0274647887323944
1996,1.0283783783783784
1997,1.0184615384615385
1998,1.0265217391304349
1999,1.024375
2000,1.0254867256637168
20000,0.0
2001,1.0259756097560975
2002,1.0257575757575759
2003,1.0234545454545454
2004,1.0247297297297298
2005,1.026842105263158
2006,1.0245
2007,1.02616
2008,1.0278723404255319
2009,1.0251162790697674
2010,1.026865671641791
2011,1.0269444444444444
2012,1.0272413793103448
2013,1.0272222222222223
2014,1.0265963060686016
2015,1.0266344294003868
2016,1.0275147928994084
2017,1.0259040590405903
2018,1.0213368983957218
2019,1.0237644341801386
2020,1.019561403508772
2021,1.0214024390243903
2022,0.0
2025,1.0182608695652173
2030,1.02125
2050,1.02
2071,0.0
20th,0.0
21st,1.0272727272727273
2500,1.0266666666666666
3000,1.0253846153846153
30000,1.0283333333333333
5000,1.023076923076923
60000,1.0285714285714285
8000,1.02
9003,0.0
9482,0.0
abil,1.0198181818181817
abl,1.0173161764705883
abnorm,0.0
abovement,1.0257142857142858
abroad,1.025
absenc,1.024
absent,0.0
absolut,1.024
abstract,1.0227586206896553
abund,1.023076923076923
abus,1.02625
academ,1.0221830985915492
academi,0.0
acceler,1.02475
accept,1.02225
access,1.0208441558441559
accessori,1.022
accid,0.0
accommod,1.0255223880597015
accompani,1.02
accomplish,1.0208163265306123
accord,1.02394261424017
accordingli,1.0177777777777777
account,1.0272338090010977
accredit,0.0
accumul,1.018529411764706
accur,1.0265068493150684
accuraci,1.0295631067961164
achiev,1.021955835962145
acid,1.028
acknowledg,1.0225
aclc,1.0258947368421052
acquir,1.0191489361702128
acquisit,1.0205
across,1.0224516129032257
act,1.0214285714285714
action,1.022829268292683
activ,1.019776247848537
actor,1.0245454545454546
actual,1.023076923076923
actuat,0.0
acut,1.025
ad,1.0223783783783784
adamson,0.0
adapt,1.0244186046511627
add,1.0245454545454546
addit,1.0212106537530266
address,1.0206722689075631
ade,0.0
adequ,1.0227027027027027
adher,1.0275
adhoc,1.0245454545454546
adjac,1.0204545454545455
adjust,1.0238235294117648
admin,0.0
administ,1.0184615384615385
administr,1.026479217603912
admiss,1.0291891891891891
admit,1.0245454545454546
adolesc,1.0214285714285714
adopt,1.0197142857142858
adult,1.0247058823529411
advanc,1.0221311475409836
advantag,1.0225806451612902
advent,1.0214285714285714
adventur,1.024
advers,1.0189473684210526
advertis,1.0282432432432433
advic,1.0225
advis,0.0
advisori,0.0
advoc,1.0183333333333333
aesthet,1.0289285714285714
affect,1.0203823529411764
afford,1.0223076923076924
aforement,1.02
africa,1.0283333333333333
african,1.0257142857142858
afterward,1.02625
age,1.0262105263157895
agenc,1.02112
agenda,1.015
agent,1.023125
aggreg,1.015
aggress,1.024
agil,1.0245454545454546
agre,1.025
agreement,1.0286153846153847
agricultur,1.022421052631579
agro,1.0275
agusan,1.0248076923076923
ahead,1.0234782608695652
ahm,1.024
aid,1.0266666666666666
aim,1.0185526315789473
airborn,1.0257142857142858
airlin,1.02875
airport,1.0257142857142858
alarm,1.0268235294117647
alcohol,1.02625
alcoholrel,0.0
alert,0.0
algorithm,1.029572301425662
align,1.0225
alik,1.02625
alkalin,0.0
alkhatib,0.0
allevi,1.0204
alli,1.0257142857142858
allianc,0.0
alloc,1.0236538461538462
allow,1.0202459016393444
almost,1.02
alon,1.0247058823529411
along,1.016967213114754
alongsid,1.0207692307692309
alreadi,1.02328125
altem,1.025
alter,1.0253846153846153
altern,1.0169565217391305
although,1.0222935779816513
alumni,0.0
alway,1.0213986013986014
amaz,1.0233333333333334
amazon,0.0
ambago,1.0266666666666666
ambigu,0.0
america,1.0158823529411765
american,1.019
ammonia,0.0
among,1.022084690553746
amongst,1.02
amount,1.025502555366269
ampl,1.022
analys,1.02578125
analysi,1.0238036809815951
analyst,1.0266666666666666
analyt,1.0218181818181817
analyz,1.0253846153846153
anant,0.0
ancestr,0.0
ancient,1.0247058823529411
anderson,0.0
andor,1.0156
andrew,0.0
android,1.0295454545454545
androidbas,0.0
anim,1.0235714285714286
