,ca,t,cs,fs,
system,1233,89,50,2,1374
custom,127,13,1180,38,1358
year,150,5,740,51,946
manag,310,13,587,31,941
butuan,215,5,645,68,933
citi,267,10,565,76,918
use,637,96,144,14,891
loan,42,0,841,0,883
busi,150,11,526,170,857
time,417,58,315,18,808
product,139,5,479,135,758
account,43,0,687,9,739
develop,501,60,119,24,704
inform,493,42,141,17,693
accord,305,18,317,3,643
applic,350,52,205,4,611
servic,278,11,246,74,609
offic,164,1,421,16,602
number,198,62,321,9,590
order,154,12,407,16,589
borrow,54,0,530,0,584
provid,426,37,78,22,563
research,272,28,218,31,549
studi,463,64,2,12,541
area,218,17,275,22,532
locat,413,7,94,18,532
credit,99,0,427,0,526
sale,26,0,477,14,517
need,311,24,140,38,513
peopl,427,24,19,28,498
compani,84,8,384,18,494
collect,95,10,384,2,491
student,414,25,8,22,469
amount,54,4,397,3,458
process,292,66,92,7,457
payment,64,1,353,4,422
make,267,34,110,8,419
data,317,45,43,9,414
person,227,7,165,8,407
receiv,64,8,331,4,407
problem,303,63,34,6,406
technolog,338,50,6,6,400
tabl,31,4,331,32,398
build,64,8,297,21,390
increas,157,22,165,41,385
gener,183,23,155,15,376
cooper,7,0,358,8,373
avail,103,9,247,9,368
water,230,0,137,1,368
colleg,61,8,254,29,352
member,20,7,319,2,348
delinqu,0,0,347,0,347
2015,99,11,231,3,344
propon,303,4,0,36,343
2017,130,7,198,6,341
day,40,2,293,6,341
administr,31,7,272,26,336
store,94,14,221,6,335
monitor,259,8,61,5,333
month,7,6,304,11,328
scienc,36,9,263,20,328
everi,156,8,147,14,325
total,62,3,217,41,323
2016,126,5,188,1,320
base,199,18,88,15,320
requir,166,19,118,15,318
still,120,11,178,9,318
aclc,47,2,244,24,317
help,251,22,32,8,313
like,149,28,121,14,312
client,62,0,239,10,311
give,148,7,147,9,311
avenu,10,0,271,19,300
user,237,47,7,4,295
aquino,1,0,272,19,292
state,120,24,137,3,284
employe,70,0,201,12,283
bachelor,5,0,251,24,280
case,103,16,157,4,280
2019,132,0,131,11,274
show,40,4,220,10,274
record,164,5,91,13,273
room,37,7,229,0,273
work,137,27,98,11,273
commun,197,18,42,14,271
introduct,233,25,0,12,270
comput,169,72,19,9,269
place,132,3,110,22,267
educ,233,10,7,16,266
purchas,25,0,233,8,266
learn,243,19,1,1,264
demand,45,5,111,100,261
item,91,1,158,9,259
oper,95,11,124,25,255
offer,61,7,162,24,254
mani,180,41,22,9,252
innov,57,3,171,20,251
health,221,25,3,1,250
project,175,5,35,35,250
document,184,6,52,7,249
includ,154,8,76,11,249
food,146,0,74,28,248
first,70,11,151,14,246
philippin,184,6,10,40,240
differ,136,23,66,14,239
access,176,40,13,9,238
organ,141,6,74,17,238
send,75,5,154,1,235
take,118,17,88,9,232
level,189,9,21,11,230
2014,61,9,154,1,225
check,91,3,127,1,222
game,219,3,0,0,222
schedul,76,69,70,3,218
vehicl,199,10,7,2,218
chapter,174,22,0,21,217
depart,97,5,91,24,217
owner,102,0,110,5,217
plan,136,3,48,26,213
fire,207,0,4,1,212
said,81,5,121,2,209
caus,166,12,29,0,207
govern,134,8,47,17,206
howev,117,16,63,10,206
manual,173,16,15,1,205
percent,40,0,148,17,205
present,128,19,43,15,205
sinc,72,20,97,16,205
letter,11,1,191,1,204
term,69,10,120,5,204
control,141,31,21,9,202
market,61,4,23,114,202
import,152,22,11,15,200
public,140,4,46,10,200
implement,129,16,50,4,199
hous,121,0,75,1,197
devic,177,19,0,0,196
result,136,12,39,8,195
current,132,11,46,5,194
perform,82,15,91,5,193
barangay,159,3,20,10,192
well,90,8,82,11,191
report,95,9,80,6,190
becom,108,25,43,13,189
chang,132,9,45,3,189
conduct,104,6,75,4,189
even,96,16,70,5,187
world,154,20,2,11,187
follow,48,6,117,15,186
reason,65,10,106,2,183
could,102,20,54,3,179
form,64,18,91,5,178
mobil,164,13,1,0,178
2013,55,3,117,2,177
must,85,9,72,11,177
call,65,19,88,4,176
school,137,8,14,16,175
serv,65,6,95,9,175
three,35,8,128,4,175
date,10,1,163,0,174
especi,107,5,58,4,174
institut,139,18,15,2,174
cash,37,0,133,3,173
human,131,40,0,1,172
identifi,158,7,3,4,172
lead,117,6,41,7,171
program,113,36,16,6,171
bank,54,0,116,0,170
