,ca,t,cs,fs,tot
system,1032,60,49,2,1143
butuan,215,5,645,68,933
city,226,7,565,74,872
customers,46,10,776,32,864
business,109,9,493,166,777
loan,31,0,735,0,766
year,81,4,635,29,749
time,366,55,253,13,687
according,297,18,314,3,632
information,472,40,67,13,592
credit,94,0,422,0,516
number,154,55,286,7,502
sales,16,0,458,13,487
people,415,24,18,26,483
customer,60,1,393,6,460
study,382,61,2,11,456
company,57,0,361,16,434
using,337,39,43,3,422
data,317,45,43,9,414
management,182,7,208,16,413
application,245,39,125,3,412
area,131,9,243,16,399
amount,48,4,328,2,382
research,131,13,217,21,382
students,323,19,8,21,371
services,168,8,156,33,365
manager,6,0,353,3,362
order,126,12,204,11,353
account,16,0,333,2,351
water,216,0,133,1,350
cooperative,2,0,346,1,349
used,201,42,96,10,349
building,31,7,287,20,345
2015,99,11,231,3,344
table,22,3,288,30,343
products,46,0,269,27,342
2017,130,7,198,6,341
days,40,2,293,6,341
college,49,6,253,26,334
every,156,8,147,14,325
2016,126,5,188,1,320
still,120,11,178,9,318
aclc,47,2,244,24,317
science,25,9,262,20,316
delinquent,0,0,315,0,315
accounts,3,0,307,4,314
development,153,24,117,10,304
total,59,3,201,39,302
based,189,17,80,15,301
payment,52,1,245,2,300
office,101,1,184,13,299
avenue,6,0,271,19,296
aquino,1,0,272,19,292
proponents,284,2,0,6,292
administration,8,0,259,22,289
borrowers,44,0,244,0,288
process,174,41,66,4,285
bachelor,2,0,251,24,277
borrower,5,0,271,0,276
like,135,23,105,13,276
2019,132,0,131,11,274
introduction,232,25,0,11,268
technology,226,28,5,2,261
provide,207,13,34,5,259
month,3,5,238,8,254
many,180,41,22,9,252
help,203,14,26,8,251
collection,47,2,197,1,247
first,70,11,151,14,246
health,217,25,3,1,246
service,109,3,90,41,243
problem,178,34,21,2,235
store,40,4,186,3,233
systems,201,29,1,0,231
make,141,16,66,7,230
learning,213,12,0,1,226
2014,61,9,154,1,225
demand,30,1,101,92,224
location,184,3,30,7,224
need,152,14,43,15,224
production,53,1,99,66,219
food,139,0,53,25,217
chapter,172,22,0,21,215
employees,23,0,177,12,212
different,117,19,62,12,210
said,81,5,121,2,209
however,117,16,63,10,206
percent,40,0,148,17,205
since,72,20,97,16,205
innovation,12,2,170,19,203
fire,197,0,4,1,202
give,96,4,92,9,201
room,23,7,171,0,201
department,83,3,90,24,200
level,170,4,19,6,199
public,138,3,46,10,197
years,69,1,105,22,197
members,18,3,173,2,196
government,116,8,47,17,188
well,89,8,80,11,188
