Terms,Weights
1000,4.5
10000,5.08
100000,8.2
1000000,10.75
14000,4.0
1920,7.0
1960,3.0
1970,5.0
1974,4.0
1977,2.7142857142857144
1979,5.125
1980,2.354838709677419
1981,11.5
1983,4.428571428571429
1984,5.0
1985,3.4000000000000004
1986,4.0
1987,5.800000000000001
1988,4.529411764705882
1989,3.4000000000000004
1990,4.818181818181818
1991,4.0
1993,5.222222222222222
1994,5.628571428571429
1995,6.7142857142857135
1996,6.066666666666666
1997,2.2972972972972974
1998,4.509433962264151
1999,5.163265306122449
2000,7.086956521739131
20000,20.5
2001,5.690909090909091
2002,9.875
2003,5.390243902439025
2004,7.0
2005,10.136363636363637
2006,7.486486486486487
2007,8.78125
2008,8.083333333333334
2009,8.457142857142857
2010,14.10204081632653
2011,11.909090909090908
2012,13.309278350515463
2013,12.15625
2014,10.844311377245509
2015,9.975
2016,9.73913043478261
2017,7.427184466019417
2018,4.226586102719033
2019,4.582857142857144
2020,3.297872340425532
2021,2.98876404494382
2022,1.0
2025,2.354838709677419
2030,2.8620689655172415
2050,1.5
2071,4.0
20th,11.5
21st,5.666666666666667
2500,4.333333333333334
3000,3.769230769230769
30000,12.25
5000,3.4000000000000004
60000,8.0
8000,2.3846153846153846
9003,10.0
9482,10.0
abil,3.393258426966292
abl,2.4914285714285715
abnorm,13.857142857142858
abovement,3.0
abroad,1.6
absenc,3.8695652173913047
absent,17.5
absolut,3.727272727272727
abstract,4.923076923076923
abund,3.769230769230769
abus,3.6666666666666665
academ,4.421875
academi,20.5
acceler,4.9375
accept,5.956521739130435
access,3.3134020618556703
accessori,3.0
accid,27.0
accommod,7.75
accompani,2.7777777777777777
accomplish,2.8545454545454545
accord,4.598371777476255
accordingli,2.4210526315789473
account,16.20408163265306
accredit,14.5
accumul,2.4347826086956523
accur,7.518518518518518
accuraci,62.26315789473685
achiev,4.477031802120141
acid,5.0
acknowledg,3.0869565217391304
aclc,8.236180904522612
acquir,3.0366972477064222
acquisit,3.307692307692308
across,3.571428571428571
act,3.0869565217391304
action,4.894736842105264
activ,3.4174757281553396
actor,4.2727272727272725
actual,4.806451612903226
actuat,5.0
acut,4.0
ad,5.408163265306123
adamson,10.0
adapt,5.871794871794872
add,4.2727272727272725
addit,3.1731207289293852
address,2.9391634980988592
ade,13.0
adequ,3.756756756756757
adher,5.199999999999999
adhoc,3.5
adjac,2.7777777777777777
adjust,5.0
admin,11.5
administ,2.2
administr,8.722488038277511
admiss,23.0
admit,4.2727272727272725
adolesc,3.4000000000000004
adopt,3.2666666666666666
adult,7.0
advanc,4.565217391304348
advantag,3.590909090909091
advent,3.608695652173913
adventur,4.428571428571429
advers,2.68
advertis,23.705882352941174
advic,3.2857142857142856
advis,6.0
advisori,26.5
advoc,2.3846153846153846
aesthet,19.75
affect,3.350148367952522
afford,3.958904109589041
aforement,2.6363636363636362
africa,4.857142857142858
african,3.4000000000000004
afterward,4.75
age,9.680851063829788
agenc,3.8292682926829267
agenda,1.4615384615384617
agent,4.2727272727272725
aggreg,1.8571428571428572
aggress,3.8
agil,4.2727272727272725
agre,5.695652173913044
agreement,16.9
agricultur,4.140625
agro,9.571428571428571
agusan,7.75
ahead,3.608695652173913
ahm,4.428571428571429
aid,5.199999999999999
aim,2.624548736462094
airborn,5.285714285714286
airlin,16.75
airport,3.4000000000000004
alarm,13.75
alcohol,8.909090909090908
alcoholrel,11.5
alert,41.5
algorithm,72.53846153846155
align,4.2
alik,4.75
alkalin,13.0
alkhatib,14.5
allevi,3.0689655172413794
alli,4.0
allianc,10.0
alloc,4.906976744186046
allow,3.378238341968912
almost,3.0366972477064222
alon,5.461538461538462
along,2.192771084337349
alongsid,3.625
alreadi,4.614906832298137
altem,3.25
alter,4.2727272727272725
altern,2.395348837209302
although,3.4339622641509435
alumni,28.0
alway,3.506849315068493
amaz,3.727272727272727
amazon,1.0
ambago,5.5
ambigu,6.0
america,1.8275862068965516
american,2.5
ammonia,28.0
among,3.4000000000000004
amongst,2.333333333333333
amount,9.404040404040405
ampl,3.1176470588235294
analys,4.4799999999999995
analysi,6.498507462686567
analyst,4.6
analyt,3.8767123287671232
analyz,9.50632911392405
anant,10.0
ancestr,10.0
ancient,3.8235294117647056
anderson,14.5
andor,2.5
andrew,13.0
android,18.0
androidbas,10.0
anim,6.896551724137931
announc,2.5652173913043477
annual,9.50632911392405
annum,4.0
anomali,13.75
anoth,3.6346863468634685
anpr,3.571428571428571
answer,4.074999999999999
anticala,16.0
anticip,6.5
anxieti,2.5
anymor,1.4615384615384617
anyon,6.142857142857142
anyth,2.411764705882353
anytim,2.0434782608695654
anywher,2.7142857142857144
apart,3.4545454545454546
app,4.923076923076923
appar,2.4
apparatus,10.0
appeal,6.0
appear,4.84375
appli,3.9765625
applianc,8.142857142857142
applic,3.335195530726257
appoint,4.714285714285714
apprais,1.6
appreci,2.8461538461538463
approach,9.467741935483872
appropri,2.6721311475409832
approv,12.389830508474576
approxim,3.0224719101123596
april,6.485714285714286
aptitud,3.25
aqua,7.857142857142857
aquacultur,13.0
aquino,20.756097560975608
arab,1.0
arabia,5.5
archetyp,7.0
architectur,60.5
archiv,17.799999999999997
arduino,16.42857142857143
area,2.801539777587682
arent,4.0
argu,9.470588235294118
aris,3.8064516129032255
arm,2.8
around,2.6901408450704225
arrang,2.8139534883720927
arriv,3.028169014084507
art,2.8461538461538463
articl,4.375
artifici,8.833333333333334
artisan,10.0
asia,4.555555555555555
asian,3.4000000000000004
asid,3.75
ask,9.516129032258064
aspect,3.1204819277108435
aspir,4.6
assembl,6.454545454545454
assert,4.0
assess,2.888888888888889
assessor,11.5
asset,5.682926829268293
assign,3.8269230769230766
assist,3.3900414937759336
associ,3.053231939163498
assort,2.2
assum,1.8181818181818181
assumpt,1.0
assur,2.5789473684210527
asynchron,8.0
ation,6.25
atmospher,3.4000000000000004
attach,5.666666666666667
attack,21.857142857142858
attain,4.4
attempt,3.5161290322580645
attend,4.733333333333333
attent,3.2666666666666666
attitud,14.799999999999999
attorney,19.0
attract,4.889655172413793
attribut,7.6000000000000005
audienc,7.529411764705882
audio,3.571428571428571
audit,3.4705882352941178
augment,6.379310344827586
august,7.300000000000001
australia,4.6
authent,13.24
author,4.564356435643564
auto,2.0
autom,6.9491525423728815
automat,5.428571428571429
automobil,2.090909090909091
automot,2.7142857142857144
autonom,25.75
autonomi,4.0
avail,4.196638655462185
avenu,17.32
averag,2.764705882352941
avoid,3.1403508771929824
awar,4.648
away,3.0
ayurveda,3.571428571428571
baan,55.0
babi,15.142857142857142
bachelor,14.722222222222223
back,3.660869565217391
backbon,4.75
backend,7.0
background,3.23963133640553
backofthebook,10.0
backward,3.1818181818181817
bacteria,7.352941176470589
bag,1.75
balanc,6.076923076923077
banana,5.571428571428571
band,1.0
banerje,19.0
bank,13.535714285714286
bar,4.0
barangay,6.352112676056338
barrier,3.5945945945945947
base,3.813627254509018
basi,5.128440366972477
basic,2.3793103448275863
basin,23.5
bathroom,11.5
batteri,6.25
bayanihan,22.0
be,2.6363636363636362
bear,4.2727272727272725
beat,4.428571428571429
beauti,3.4545454545454546
becam,2.6285714285714286
becom,2.8461538461538463
began,3.5384615384615383
begin,2.391304347826087
behalf,3.25
behav,4.0
behavior,7.275862068965517
behaviour,16.054545454545455
behind,4.0
belda,19.0
belief,1.0
believ,3.2285714285714286
belong,2.5
belt,7.0
benchmark,3.4000000000000004
benefici,3.678571428571429
beneficiari,4.069767441860465
benefit,2.7114754098360656
besid,4.970588235294118
best,2.975903614457831
better,3.16
beverag,7.947368421052632
beyond,3.727272727272727
bia,4.818181818181818
bicycl,4.0
bid,13.0
bigger,4.0
biggest,4.300000000000001
bike,10.0
bilater,5.0
bill,4.428571428571429
billion,3.9770992366412212
bin,41.5
biodegrad,5.0
biolog,4.0
biometr,7.75
bird,21.727272727272727
birth,1.4615384615384617
bislig,4.0
black,3.526315789473684
blast,10.0
blend,3.25
blind,7.666666666666667
block,5.061538461538461
blockag,4.428571428571429
blog,4.428571428571429
blood,6.723076923076923
blue,4.555555555555555
board,5.931506849315069
bodi,4.1875
bonbon,22.0
bond,2.0434782608695654
bone,4.6
book,5.770491803278689
boom,3.1818181818181817
boost,4.631578947368421
bootstrap,7.0
border,12.142857142857142
bore,3.4000000000000004
born,6.25
borrow,47.97142857142857
bottl,7.2857142857142865
bottom,5.285714285714286
bought,1.4615384615384617
bound,3.444444444444444
boundari,1.75
box,9.0
brain,21.625
branch,2.8857142857142857
brand,17.012269938650306
breach,2.2
bread,3.8235294117647056
break,4.15
breakdown,3.1818181818181817
breakin,10.0
breath,7.0
brgi,3.1176470588235294
brick,12.076923076923077
bridg,4.75
brief,3.8571428571428568
briefli,5.0
brigad,11.5
bright,3.25
bring,3.193548387096774
broad,2.5789473684210527
broadcast,2.3636363636363633
broadli,4.0
broken,1.72
brought,3.123076923076923
brown,5.384615384615384
brows,3.7
browser,6.25
budget,3.380952380952381
buenavista,8.5
build,5.464516129032258
builder,3.4000000000000004
buildup,13.0
built,1.6545454545454545
bulk,8.5
bunch,4.6
burden,3.4545454545454546
bureau,4.142857142857143
burglar,37.0
burglari,19.0
burn,2.5
buse,16.0
busi,4.615811373092926
button,3.571428571428571
butuan,6.217391304347826
butuanon,14.5
buy,37.44444444444444
buyer,7.0
byproduct,2.2
cabadbaran,10.0
cabl,1.0
cach,5.0
cafe,12.0
cagayan,4.0
cake,26.5
calam,40.0
calcul,8.227272727272727
calendar,3.142857142857143
california,13.0
call,3.2958199356913185
calori,2.2
came,3.3636363636363633
camera,5.935483870967742
campaign,6.0
campu,7.0
camscann,6.0
can,4.0
canada,3.4000000000000004
cancel,3.5
cancer,43.0
candi,11.5
candid,10.0
cant,3.25
capabl,2.953488372093023
capac,4.931034482758621
capit,4.902097902097902
capita,2.333333333333333
captiv,2.2
captur,4.04
car,3.8
caraga,15.11111111111111
carbon,4.0
card,5.090909090909091
cardiovascular,22.6
care,3.6739130434782608
career,5.421052631578947
carnap,16.0
carri,3.846153846153846
carrier,3.0869565217391304
cart,1.9230769230769231
case,3.461855670103093
cash,9.228571428571428
cashier,15.689655172413792
cashless,14.5
cassava,1.0
cast,2.2
catalog,10.0
cataract,4.0
catch,2.5789473684210527
categor,10.096774193548388
categori,4.741176470588235
cater,2.730769230769231
caught,13.857142857142858
caus,4.315789473684211
cctv,3.4000000000000004
cdrrmo,26.5
celebr,2.2
cell,13.0
cellular,3.3333333333333335
cement,3.571428571428571
censu,8.8
cent,13.333333333333332
center,4.766666666666667
centr,4.300000000000001
central,2.9574468085106385
centric,1.9
centuri,3.727272727272727
cereal,4.75
certain,2.824742268041237
certif,5.0754716981132075
certifi,3.4000000000000004
chain,4.640449438202247
chairman,3.1818181818181817
challeng,4.641221374045801
champion,4.0
chanc,4.0
chang,3.7660311958405543
channel,9.830188679245282
chapter,7.935064935064935
charact,3.75
character,13.0
characterist,6.060869565217391
charcoal,4.818181818181818
charg,16.5625
chart,11.363636363636363
chat,2.2
chatbot,12.28
cheap,4.6
cheaper,6.25
check,5.867924528301887
checklist,7.0
ched,17.5
chemic,2.3714285714285714
chen,5.363636363636363
chest,14.0
chicken,5.909090909090909
chief,3.571428571428571
child,4.214285714285714
childhood,6.25
children,4.428571428571429
china,5.516129032258064
chines,5.0
chocol,4.6
choic,5.758620689655173
choos,3.2105263157894735
chore,7.545454545454545
chose,2.0
chosen,2.161290322580645
chou,4.428571428571429
christma,2.090909090909091
chronic,6.142857142857142
church,49.0
cigarett,20.5
circl,5.800000000000001
circul,13.899999999999999
circumst,4.833333333333333
cite,3.4000000000000004
citi,4.7562500000000005
citizen,4.352941176470589
civil,3.8
claim,6.7142857142857135
clariti,3.1818181818181817
class,5.518072289156627
classic,10.818181818181818
classif,46.75
classifi,12.468354430379748
classroom,7.315789473684211
clean,5.6299212598425195
clear,3.0
clearanc,4.157894736842105
clearli,3.5384615384615383
clerk,50.5
click,2.44
client,7.022388059701493
climat,2.6595744680851063
clinic,5.800000000000001
close,3.608695652173913
closer,2.875
closest,3.0
closur,2.5
cloth,11.235294117647058
cloud,68.0909090909091
cluster,16.94736842105263
clutter,7.0
coco,4.6
coconut,4.6
code,5.953488372093023
coeffici,1.0
coffe,15.399999999999999
cognit,9.634146341463413
cohen,4.428571428571429
coin,29.0
coincid,4.2727272727272725
cold,4.333333333333334
collabor,12.23076923076923
collar,10.0
collater,34.75
colleagu,2.7777777777777777
collect,7.754098360655737
collector,33.769230769230774
colleg,6.482758620689656
collis,25.0
color,3.903225806451613
colorcod,19.0
colour,3.896551724137931
column,3.25
combin,5.4475524475524475
come,2.4175824175824174
comfort,6.052631578947368
command,9.399999999999999
commenc,4.0
comment,1.4615384615384617
commerc,5.75
commerci,5.909090909090909
commiss,3.217391304347826
commit,3.189189189189189
committe,4.0
commod,2.5
common,3.6043956043956045
commonli,3.175
commun,2.2972972972972974
commut,10.600000000000001
compani,8.697896749521988
compar,4.0212765957446805
comparison,4.6
compat,3.7
compel,3.0999999999999996
compens,3.4000000000000004
compet,2.3398058252427187
competencybas,17.5
competit,4.226666666666667
competitor,6.866666666666666
compil,1.5454545454545454
complain,10.666666666666668
complaint,29.411764705882355
complement,6.142857142857142
complementari,7.0
complet,2.815384615384615
complex,6.748251748251748
compli,2.6363636363636362
complianc,3.1818181818181817
complic,3.914285714285714
compon,3.1255605381165923
compos,3.137931034482759
composit,9.275862068965518
compound,11.5
comprehend,4.666666666666667
comprehens,2.6721311475409832
compris,2.5652173913043477
compromis,4.6
comput,7.564705882352942
computer,5.714285714285714
computerbas,10.75
concem,3.6153846153846154
concentr,4.574468085106383
concept,2.982456140350877
conceptu,2.864864864864865
concern,2.3943661971830985
conclud,7.59016393442623
conclus,9.90625
concurr,4.333333333333334
condit,3.301639344262295
conduct,3.096551724137931
conductor,22.0
confer,3.25
confid,1.7058823529411764
configur,10.428571428571429
confin,1.8571428571428572
confirm,3.5925925925925926
conflict,2.7837837837837838
confront,3.142857142857143
confus,2.5
congest,8.363636363636363
connect,2.310924369747899
consciou,4.2
consecut,2.3846153846153846
consensu,3.142857142857143
consequ,2.6695652173913045
conserv,1.9473684210526314
consid,3.453389830508475
consider,3.467289719626168
consist,3.1052631578947367
consolid,7.0
consortium,4.0
constant,6.2
constantli,4.25
constitu,2.7142857142857144
constitut,3.7142857142857144
constrain,2.333333333333333
constraint,6.384615384615385
construct,4.090909090909091
consult,29.5
consum,11.156996587030717
consumpt,3.982456140350877
contact,5.232558139534884
contagi,14.5
contain,2.717741935483871
contamin,6.454545454545454
contemporari,2.5
content,3.5514018691588785
context,2.546875
contextu,2.2
contin,3.142857142857143
conting,4.0
continu,2.826865671641791
contract,6.127272727272727
contractor,46.0
contrari,3.769230769230769
contrast,8.894736842105264
contribut,3.6122448979591835
contributor,1.6666666666666665
control,4.607142857142857
conveni,3.011764705882353
convent,3.5
converg,19.0
convers,4.962264150943396
convert,3.2682926829268295
convey,3.1818181818181817
convolut,55.75
cook,10.25
cool,7.75
coop,4.0
cooper,13.25945945945946
coordin,3.571428571428571
cope,3.5
copi,2.0140845070422535
core,3.264150943396227
corn,10.176470588235293
corner,3.625
corona,4.75
coronaviru,4.769230769230769
coronavirus,5.0
corpor,7.318584070796461
correct,7.837209302325581
correctli,5.421052631578947
correl,4.449999999999999
correspond,6.1923076923076925
cost,3.134228187919463
costeffect,8.0
costli,2.909090909090909
cottag,4.6
cough,6.6
could,2.302197802197802
council,3.307692307692308
counsel,4.2
count,7.206896551724139
counter,1.967741935483871
counterpart,2.3846153846153846
countless,4.0
countri,2.799163179916318
coupl,3.0377358490566038
cours,4.711864406779661
court,53.5
cover,3.5789473684210527
covid,4.0
covid19,2.8381502890173413
crack,2.2
crank,10.0
crash,12.25
cream,4.0
creat,2.596116504854369
creation,2.5164835164835164
creativ,2.9411764705882355
creator,3.727272727272727
credenti,6.142857142857142
credibl,5.0
credit,22.118110236220474
creditworthi,17.5
crew,4.0
crime,7.095238095238095
crimin,5.615384615384616
crise,4.75
crisi,11.75
crisob,10.0
cristob,11.5
criteria,5.65
critic,3.9482758620689653
crop,3.230088495575221
crore,4.857142857142858
cross,3.9189189189189193
crowd,2.3846153846153846
crucial,4.6521739130434785
crude,4.333333333333334
crystal,7.545454545454545
cue,1.0
cultiv,6.454545454545454
cultur,4.818181818181818
cumul,5.285714285714286
currenc,3.1081081081081083
current,2.6741767764298094
curriculum,7.315789473684211
custom,15.309302325581395
cut,3.8235294117647056
cutter,3.571428571428571
cyber,11.5
cybersecur,10.0
cycl,2.875
cylind,4.6
daili,3.3493975903614457
damag,3.0842105263157897
danger,9.100000000000001
dark,4.6
data,8.468788249694002
databas,8.064516129032258
date,17.476190476190474
davao,13.0
day,13.348387096774193
daytoday,3.25
dead,13.0
deaf,15.5
deal,3.514705882352941
dean,8.2
dearth,4.0
death,5.083333333333334
debt,36.25
decad,2.44
decemb,1.3
decid,5.423357664233577
decis,3.241573033707865
decisionmak,4.36
declar,3.769230769230769
declin,5.875
decor,9.142857142857142
decreas,11.02
dedic,7.428571428571429
deduct,41.5
deem,2.655172413793103
deep,32.542857142857144
deepli,5.0
defect,8.4
defend,5.800000000000001
defens,8.0
defici,2.764705882352941
deficit,4.6
defin,3.1944444444444446
definit,2.7241379310344827
degrad,2.125
degre,2.5818181818181816
delay,4.648648648648649
deliber,2.142857142857143
delici,13.0
delight,4.0
delinqu,210.39999999999998
deliv,5.275
deliveri,4.393939393939394
delta,17.5
demand,4.011320754716981
democrat,4.0
demograph,1.0
demonstr,5.125
dengu,15.0
densiti,4.75
depart,3.2135922330097086
department,22.0
depe,20.5
depend,3.078740157480315
depict,5.909090909090909
deploy,1.8
deposit,13.8
depreci,4.75
depress,2.411764705882353
depth,3.727272727272727
deriv,3.625
dermatologist,10.0
describ,7.7804878048780495
descript,5.822429906542056
deserv,1.8571428571428572
design,5.425974025974027
desir,2.721311475409836
deskroom,10.0
despit,3.5609756097560976
destin,2.5824175824175826
destroy,3.1818181818181817
destruct,4.0
detail,6.046728971962617
detain,14.5
detect,16.759493670886073
detector,13.0
deterior,5.285714285714286
determin,2.972826086956522
detriment,4.428571428571429
devast,3.6666666666666665
develop,2.306553911205074
development,13.0
devic,6.187250996015936
devis,4.2727272727272725
devot,4.428571428571429
diagnos,9.75
diagnosi,30.333333333333336
diagnost,4.230769230769231
dialect,5.909090909090909
diarrhea,11.5
diastol,19.0
dictionari,3.25
die,3.0999999999999996
diet,8.636363636363637
dietari,11.8
differ,3.5168269230769234
differenti,2.5652173913043477
difficult,5.251968503937007
difficulti,3.2727272727272725
digit,4.424657534246576
dilemma,2.5
dimens,7.0
dimension,1.6
diminish,3.8235294117647056
direct,2.3513513513513513
