Terms,Weights
1000,1.0233333333333334
10000,1.02
100000,1.0288
1000000,1.0325
14000,1.02
1920,1.03
1960,1.0166666666666666
1970,1.024
1974,1.022857142857143
1977,1.016
1979,1.023157894736842
1980,1.0127272727272727
1981,0.0
1983,1.0213333333333334
1984,1.022857142857143
1985,1.0171428571428571
1986,1.02
1987,1.0256
1988,1.02
1989,1.0171428571428571
1990,1.0195348837209302
1991,1.0175
1993,1.0217142857142858
1994,1.020377358490566
1995,1.0225352112676056
1996,1.0205405405405406
1997,1.0123076923076924
1998,1.0179710144927536
1999,1.02125
2000,1.024778761061947
20000,0.0
2001,1.0209756097560976
2002,1.0286868686868686
2003,1.0218181818181817
2004,1.0254054054054054
2005,1.0282105263157895
2006,1.0266666666666666
2007,1.02656
2008,1.0241134751773049
2009,1.0269767441860465
2010,1.0319402985074626
2011,1.0296296296296297
2012,1.0304980842911877
2013,1.0293827160493827
2014,1.0289182058047492
2015,1.0277756286266924
2016,1.026429980276134
2017,1.0244280442804428
2018,1.0190374331550802
2019,1.0193071593533487
2020,1.016842105263158
2021,1.014390243902439
2022,1.0
2025,1.0121739130434784
2030,1.015
2050,1.0066666666666666
2071,1.02
20th,0.0
21st,1.0254545454545454
2500,1.0222222222222221
3000,1.0184615384615385
30000,1.0333333333333334
5000,1.0184615384615385
60000,1.0266666666666666
8000,1.0133333333333334
9003,0.0
9482,0.0
abil,1.0172121212121212
abl,1.0127941176470587
abnorm,1.0333333333333334
abovement,1.0171428571428571
abroad,1.0066666666666666
absenc,1.0176
absent,0.0
absolut,1.02
abstract,1.0234482758620689
abund,1.0184615384615385
abus,1.02
academ,1.0205633802816902
academi,0.0
acceler,1.021
accept,1.0253333333333334
access,1.016190476190476
accessori,1.016
accid,1.0339130434782609
accommod,1.026865671641791
accompani,1.0152380952380953
accomplish,1.013877551020408
accord,1.018788522848034
accordingli,1.0133333333333334
account,1.0327113062568607
accredit,0.0
accumul,1.0129411764705882
accur,1.0241095890410958
accuraci,1.0376699029126213
achiev,1.0206940063091483
acid,1.0213333333333334
acknowledg,1.016
aclc,1.0252631578947369
acquir,1.0157446808510637
acquisit,1.0166666666666666
across,1.016258064516129
act,1.0152380952380953
action,1.0216585365853659
activ,1.0171428571428571
actor,1.0218181818181817
actual,1.0201709401709402
actuat,1.02
acut,1.02
ad,1.0233513513513515
adamson,0.0
adapt,1.0220930232558139
add,1.0218181818181817
addit,1.0153995157384987
address,1.0142857142857142
ade,0.0
adequ,1.0183783783783784
adher,1.0233333333333334
adhoc,1.018181818181818
adjac,1.0145454545454546
adjust,1.0211764705882354
admin,0.0
administ,1.0123076923076924
administr,1.0263080684596577
admiss,1.0356756756756758
admit,1.0218181818181817
adolesc,1.022857142857143
adopt,1.016190476190476
adult,1.0258823529411765
advanc,1.0201639344262294
