Dataset,Model,F1 Score
BACKGROUND,TF MONO KNeighborsClassifier,0.8561151079136691
BACKGROUND,TF MONO MultinomialNB,0.539568345323741
BACKGROUND,TF MONO SVC,0.81294964028777
BACKGROUND,SQRT TF MONO KNeighborsClassifier,0.8776978417266187
BACKGROUND,SQRT TF MONO MultinomialNB,0.5683453237410072
BACKGROUND,SQRT TF MONO SVC,0.8273381294964028
BACKGROUND,TF EMONO KNeighborsClassifier,0.81294964028777
BACKGROUND,TF EMONO MultinomialNB,0.539568345323741
BACKGROUND,TF EMONO SVC,0.81294964028777
BACKGROUND,SQRT TF EMONO KNeighborsClassifier,0.8561151079136691
BACKGROUND,SQRT TF EMONO MultinomialNB,0.5539568345323741
BACKGROUND,SQRT TF EMONO SVC,0.8273381294964028
BACKGROUND,TF IGM KNeighborsClassifier,0.697841726618705
BACKGROUND,TF IGM MultinomialNB,0.841726618705036
BACKGROUND,TF IGM SVC,0.6330935251798561
BACKGROUND,SQRT TF IGM KNeighborsClassifier,0.6762589928057554
BACKGROUND,SQRT TF IGM MultinomialNB,0.920863309352518
BACKGROUND,SQRT TF IGM SVC,0.6402877697841727
ABSTRACT,TF MONO KNeighborsClassifier,0.8489208633093525
ABSTRACT,TF MONO MultinomialNB,0.539568345323741
ABSTRACT,TF MONO SVC,0.8848920863309353
ABSTRACT,SQRT TF MONO KNeighborsClassifier,0.8992805755395683
ABSTRACT,SQRT TF MONO MultinomialNB,0.6187050359712231
ABSTRACT,SQRT TF MONO SVC,0.8705035971223022
ABSTRACT,TF EMONO KNeighborsClassifier,0.8057553956834532
ABSTRACT,TF EMONO MultinomialNB,0.539568345323741
ABSTRACT,TF EMONO SVC,0.8705035971223022
ABSTRACT,SQRT TF EMONO KNeighborsClassifier,0.8776978417266187
ABSTRACT,SQRT TF EMONO MultinomialNB,0.5539568345323741
ABSTRACT,SQRT TF EMONO SVC,0.8705035971223022
ABSTRACT,TF IGM KNeighborsClassifier,0.7769784172661871
ABSTRACT,TF IGM MultinomialNB,0.8848920863309353
ABSTRACT,TF IGM SVC,0.8273381294964028
ABSTRACT,SQRT TF IGM KNeighborsClassifier,0.8848920863309353
ABSTRACT,SQRT TF IGM MultinomialNB,0.9784172661870504
ABSTRACT,SQRT TF IGM SVC,0.9280575539568345
