Dataset,Model,F1 Score
BACKGROUND,TF MONO KNeighborsClassifier,0.81294964028777
BACKGROUND,TF MONO MultinomialNB,0.5251798561151079
BACKGROUND,TF MONO SVC,0.7841726618705036
BACKGROUND,SQRT TF MONO KNeighborsClassifier,0.7553956834532374
BACKGROUND,SQRT TF MONO MultinomialNB,0.5683453237410072
BACKGROUND,SQRT TF MONO SVC,0.8057553956834532
BACKGROUND,TF EMONO KNeighborsClassifier,0.7985611510791367
BACKGROUND,TF EMONO MultinomialNB,0.5251798561151079
BACKGROUND,TF EMONO SVC,0.7841726618705036
BACKGROUND,SQRT TF EMONO KNeighborsClassifier,0.7482014388489209
BACKGROUND,SQRT TF EMONO MultinomialNB,0.5467625899280576
BACKGROUND,SQRT TF EMONO SVC,0.7985611510791367
BACKGROUND,TF IGM KNeighborsClassifier,0.6906474820143885
BACKGROUND,TF IGM MultinomialNB,0.8201438848920863
BACKGROUND,TF IGM SVC,0.6402877697841727
BACKGROUND,SQRT TF IGM KNeighborsClassifier,0.8273381294964028
BACKGROUND,SQRT TF IGM MultinomialNB,0.935251798561151
BACKGROUND,SQRT TF IGM SVC,0.7697841726618704
ABSTRACT,TF MONO KNeighborsClassifier,0.7985611510791367
ABSTRACT,TF MONO MultinomialNB,0.5251798561151079
ABSTRACT,TF MONO SVC,0.8848920863309353
ABSTRACT,SQRT TF MONO KNeighborsClassifier,0.8920863309352518
ABSTRACT,SQRT TF MONO MultinomialNB,0.5827338129496403
ABSTRACT,SQRT TF MONO SVC,0.8561151079136691
ABSTRACT,TF EMONO KNeighborsClassifier,0.7841726618705036
ABSTRACT,TF EMONO MultinomialNB,0.5251798561151079
ABSTRACT,TF EMONO SVC,0.8489208633093525
ABSTRACT,SQRT TF EMONO KNeighborsClassifier,0.7194244604316546
ABSTRACT,SQRT TF EMONO MultinomialNB,0.539568345323741
ABSTRACT,SQRT TF EMONO SVC,0.8273381294964028
ABSTRACT,TF IGM KNeighborsClassifier,0.7553956834532374
ABSTRACT,TF IGM MultinomialNB,0.8561151079136691
ABSTRACT,TF IGM SVC,0.81294964028777
ABSTRACT,SQRT TF IGM KNeighborsClassifier,0.7913669064748201
ABSTRACT,SQRT TF IGM MultinomialNB,0.9280575539568345
ABSTRACT,SQRT TF IGM SVC,0.9136690647482014
